pkid,fklinegroup,selectionorder
ef0ee623-0c41-2dc5-1760-3b59dfb5ac5f,d4926738-fb09-9e39-1657-738e46804ac3,2
38c3c347-6774-e41b-4e30-9e8eff24c9d2,9c15a3ff-0cf8-08fa-4e54-095d377c536f,1
3926b2a4-7323-c213-a67f-6e42164b26d8,e6b99e7d-4a2e-1aa9-ff77-a95866fd311c,1
396a995b-d627-119c-7bf9-a60135ddf879,38a24ac0-fe0f-7719-8c1a-8c03ff801a5a,1
3a56d486-9532-068a-abcb-a96294499108,862dcea4-04b3-bd43-d82d-9a87547ceec1,1
3a9a958f-3b6c-6284-c58d-590443ca965b,265bd410-1f48-7c8a-3b57-b072364e823e,1
3ad21574-9e73-d9ce-df42-8093eaed27ac,e635f866-bac6-2e99-810f-dab6016bd5e0,1
3b364616-bad6-8345-9244-893d108efad3,9c47eb95-1447-bd19-1ca9-9e875758ddb5,1
3b89561c-7c76-dd36-21ca-e0e1e5b96dbb,c7642731-c477-4bc4-fc1b-5ac922cf9ffa,1
3bb2bdd1-43ef-d40b-51bf-364fc8ab3b72,cac5d7df-4827-f032-4396-80514824ea63,1
3be09868-abea-d08e-2cb1-6a7b6b429d39,9ea374e6-9ea5-aed9-1fca-9ba6d41d5ecd,1
3be78cfe-357c-dd60-62fb-78c641b09d9a,b3e4906e-8549-18d4-4c17-5e2743a82025,1
3c3fa3e6-7689-821c-cd7d-bf390d3f3811,751468e9-3326-6d7b-7186-927e42c58bfb,1
3ccfc361-1d8e-96fb-f317-f5af2f57ad5c,bea933b0-f1af-71e2-6afc-9306b625ffa9,1
3cd73516-7958-1d8c-d14d-0f9104e8d736,0767de72-f3a3-b800-46da-ede1d28c0060,1
3e6fe3e1-e10f-039e-3d49-c0fbe15d1693,8902e781-8a51-fdbf-dc80-0a881af4deeb,1
3e9855ad-a63d-bc93-db66-cf0015ff6a8a,3aa87dbf-ddbf-9db0-94e1-9798fddb4a1a,1
3ed285fd-d51e-cdaa-8952-3b4e30b8396b,6c3f643e-d939-a0ea-5632-1ccb87c5200b,1
3efb77f4-8c60-dbe8-6423-eadf015d47e7,5b83c748-8cb1-e9f9-2b69-1b25967320cf,1
3f504940-8625-dc86-4f01-f625f00bc6db,e5155974-332e-1df0-54f7-02b281862fd0,1
3f90bfce-a909-af04-9b96-1fc1ee838c14,4394c8fe-f7bf-fcd0-230d-6a9c11f84016,1
3fda86e6-310b-19dd-edd1-19c804e320ba,d783c2d6-e080-b348-7bb0-81c24982de0e,1
403c18d3-295b-3490-c3d0-98b8559047aa,11ed88f6-f600-d1d2-6a4f-ed0a76b2bb90,1
404121ca-56bc-f4ac-3578-4273ed01c82f,317be101-1f1c-24be-64a2-8785c652f3e0,1
40454d6d-505a-46b0-9aa9-6119dc32ff2c,ea474fe0-c91d-0090-65f0-ba5fb4f848e2,1
41673ba6-9e99-e144-f9b8-0c883532613e,85ef3867-f32d-2427-5c58-22f1a71a3deb,1
41750e1d-dede-dd9f-1060-308cb5024e1e,e2da3d05-f996-c84c-c1d9-4218183bb885,1
42241620-c323-43a8-129c-d861103dcc4c,2e6ca393-2a09-d99a-9f9a-7146b6247896,1
423a7960-25e9-d805-94fa-6b0283fa7fd3,67d62bba-a20c-f079-3a30-55beaeaa702d,1
bf04215d-6add-f6c6-1acf-d5e747e3db9d,abfe614c-8d81-eb22-f981-9edd833fae59,1
4281cd0a-3d27-2f77-75d2-459d3d5aba32,9e21dc88-477b-206b-4125-6b537ca2ab92,1
42ea00d5-22f6-3ae0-4c59-1080db506700,0d5fdcca-5b61-ea6c-a33e-213b8e5cd011,1
42f9a9fd-146f-a455-7de2-873b4a6ea990,ff435214-a0df-dd16-185b-90d87a47c53f,1
43183c2d-b918-1df3-0b22-5d5ff775e3ec,2d0bb8a1-c6fe-16a2-7a83-36e25c795b13,1
4374ba9f-3755-3283-2a7c-e7c56fdfd9c6,fadc4967-0c57-ad0a-45ab-6ff888641564,1
43a04ac7-7499-0c3f-fcb5-7f68121605b3,e14edb9a-f7bb-6276-f7ef-d23075d45255,1
43f12311-2dbc-177c-6a57-93389dc27880,0913dd06-07f9-3e3b-944b-27ba641b6242,1
440f228a-e48b-43bb-a23c-209288344a25,56687bd8-56b6-05f2-23df-554688e21e5f,1
465cf19b-2379-638a-adc8-c88ec43afff5,75cf39cd-ed9b-0696-e566-6ea382f01047,1
