pkid,fkmediaresourcelist
0f62d3d8-7890-79c2-5a2a-e1cf15e5e71c,7b8dedca-adac-517d-978e-e3988b75406e
8927a9da-b27e-7033-9bd0-7b055a396a4e,7b8dedca-adac-517d-978e-e3988b75406e
4c2f5423-0e88-ba40-ac44-17a5eb106c96,7b8dedca-adac-517d-978e-e3988b75406e
e2f3e4e7-dae6-7d77-6c6b-9b6b9b42a81a,7b8dedca-adac-517d-978e-e3988b75406e
d8662d9d-611a-8e39-2e46-aa48eb1803d9,7b8dedca-adac-517d-978e-e3988b75406e
75aff92f-a6c3-60fe-1199-e648c82e9fab,7b8dedca-adac-517d-978e-e3988b75406e
0518e4b9-cdf0-2be0-a3da-34ac0a145c3d,7b8dedca-adac-517d-978e-e3988b75406e
50070aae-f894-4de6-690a-5b3e6bd846b4,7b8dedca-adac-517d-978e-e3988b75406e
283502c7-5484-012f-94fb-759bf9576aea,7b8dedca-adac-517d-978e-e3988b75406e
6d06c168-0c11-231a-f844-89ba2c60438f,7b8dedca-adac-517d-978e-e3988b75406e
781d9e02-4705-e713-8a13-ef81cac27370,7b8dedca-adac-517d-978e-e3988b75406e
e5c6fa1d-1f18-d5e4-ed6b-27ee21d06b2d,7b8dedca-adac-517d-978e-e3988b75406e
0b5737d0-d096-ffe4-722c-7507710d10d6,7b8dedca-adac-517d-978e-e3988b75406e
60477f3c-01c8-a189-f906-6e1e0c126cc2,7b8dedca-adac-517d-978e-e3988b75406e
78f6374c-b763-ed92-b7cd-8dba7eb27fff,7b8dedca-adac-517d-978e-e3988b75406e
c48b00ed-5dbe-3b43-36a1-548f1f84a6ce,7b8dedca-adac-517d-978e-e3988b75406e
8cc5f1e3-947d-d1d0-ed8a-f6e5f571e435,7b8dedca-adac-517d-978e-e3988b75406e
fbdf9fc0-2dc9-89d1-d87b-b445758a5e66,7b8dedca-adac-517d-978e-e3988b75406e
9adfc91e-8768-7785-2913-783cce789b58,7b8dedca-adac-517d-978e-e3988b75406e
4cc391c5-df55-d8bf-7338-6621e52da231,7b8dedca-adac-517d-978e-e3988b75406e
12ea1fde-13bc-6c65-a20f-0d353f579bff,7b8dedca-adac-517d-978e-e3988b75406e
2fe52cab-3ba7-9f10-1cae-845783a98f68,7b8dedca-adac-517d-978e-e3988b75406e
1bca5f26-a95a-facf-e091-f224b5fdbfe8,7b8dedca-adac-517d-978e-e3988b75406e
c5d0d181-38bc-6533-1d61-5b004c847f4e,7b8dedca-adac-517d-978e-e3988b75406e
cfa2de38-bb22-0067-3950-a9cd6887be7b,7b8dedca-adac-517d-978e-e3988b75406e
050bc52c-b4ba-be2c-c785-d2fe7b7c694e,7b8dedca-adac-517d-978e-e3988b75406e
1a70ae9e-7a74-9a6f-074a-60ff92d3db36,7b8dedca-adac-517d-978e-e3988b75406e
332eefc2-bfc2-ab83-c878-303f34f1a58e,7b8dedca-adac-517d-978e-e3988b75406e
b54af280-38f6-d266-b54b-186a5630567c,7b8dedca-adac-517d-978e-e3988b75406e
33d6cc7e-5e00-0f35-5f0f-229bd4b4d7bb,7b8dedca-adac-517d-978e-e3988b75406e
1bc92494-d997-e8f2-bac7-2480ba0a14cb,7b8dedca-adac-517d-978e-e3988b75406e
7a811b0c-6a3a-dcbc-31d9-f865e8e3f431,7b8dedca-adac-517d-978e-e3988b75406e
ff3ba7b4-f179-5405-b35a-2dec13860b5a,7b8dedca-adac-517d-978e-e3988b75406e
f1c7b7f8-a0f2-739e-d9ba-7259b47040fd,7b8dedca-adac-517d-978e-e3988b75406e
4f17395c-a384-d5e7-00d8-866455a8b1bc,7b8dedca-adac-517d-978e-e3988b75406e
4ad88e60-64ee-96f7-f307-44402e9aee4a,7b8dedca-adac-517d-978e-e3988b75406e
7867f7b6-0b69-df0a-fde3-69f5d8fe16bf,7b8dedca-adac-517d-978e-e3988b75406e
8cb19833-8942-9b2d-a20b-e05214aca9da,7b8dedca-adac-517d-978e-e3988b75406e
23d1986b-a986-2b9d-64de-a6864b49523d,7b8dedca-adac-517d-978e-e3988b75406e
a9c756d7-9c17-346a-e9c7-3b421418d355,7b8dedca-adac-517d-978e-e3988b75406e
3039f88b-4e52-2449-e8e4-04e15736873e,7b8dedca-adac-517d-978e-e3988b75406e
2b46a8ab-5498-e7e9-f0b1-19547d671aa3,7b8dedca-adac-517d-978e-e3988b75406e
6087404a-1ed0-6f95-84b7-ecd20d242d82,7b8dedca-adac-517d-978e-e3988b75406e
079ee42e-819a-40ea-0cd7-b8c27b9fd4ff,7b8dedca-adac-517d-978e-e3988b75406e
f3d15949-67fd-5b00-a23e-ca92b9067f11,7b8dedca-adac-517d-978e-e3988b75406e
bdf948bb-5827-09a3-4e90-f21dfc9e3bf7,7b8dedca-adac-517d-978e-e3988b75406e
