pkid,fkdevicepool
69cffbe7-a6b5-37de-a19e-04241b6b0e5e,2ec50bee-3039-40eb-91bd-71b5423826a6
efcc8e84-aba7-990c-b6bb-63970172f43a,5dedc8b8-efcc-4703-a256-95737f0a7524
f56aab20-e2fa-80c9-453b-1907d1f258e5,859f0ad5-5f4f-40b1-8499-8f497e5431d8
f33e31ef-03fb-301d-dbc7-eeb44611e7da,aac78fed-ca4b-0535-1947-806f7ab19097
cb2d86a9-d946-7b9c-e3e2-4f5a8e4f7776,aac78fed-ca4b-0535-1947-806f7ab19097
dd894c51-c561-fce4-3aab-5dddb1899eb7,22f34c93-6af9-435d-95d2-2ad9b4cc92cc
3edb0abb-b652-f6e8-3ed8-6d3c6e425e2d,64c5ebe8-28e6-4672-8a53-e97529371b9b
f9a1a002-2ef5-9df1-0443-f27be1293e7a,57690b85-d826-4d07-a555-71b39bdbc320
925417b5-00d4-4283-ee13-a518927582dd,a133df9e-0b8c-4642-976c-5b24384119b6
f861d678-ea68-ba62-8c1b-ab5e34b30652,0baf3094-6b64-447a-b502-15538eb50ee8
943da3f5-1319-1600-fdab-5c6a82c5c1b5,e78eaee0-680e-4f95-9f2d-a01f85cdf388
d6316273-d602-862e-96ba-24e42d36cbc7,94ea9a7e-4d7c-4905-934c-1aa58c40b2fe
0e36c715-4c07-c29a-9bba-37af47b74fd9,13586d5e-dacd-49b4-bc16-15202acc7592
10b3deb7-4d09-e279-5dc7-04741f4ec37d,3be7ea5b-6bb6-42c2-be14-aca3c1656781
18d4d8fa-f7aa-2dc9-0dff-89d4087578e4,ee83be75-8390-aaa5-f263-fadc59a1352d
2b55ce68-36ef-01c1-84f7-38246e9a02db,d7c4e3bd-ccbc-4487-a098-a3a759772774
32945fb2-0df3-0934-b880-e180a9e8b3e1,9fc75212-fbd7-4bf7-b909-c681a459494e
3ae73d23-8423-c1cc-11b5-e9d93013d6e1,523b6cd0-9586-46de-9f0f-2d086e0c8959
41dfeb43-ce53-c374-4582-9269db781215,aaf2ca59-ca56-4735-b160-ca258d27ddc4
a2efa7d4-3425-f178-3677-feee3ba5053f,647239c9-54ca-4ab1-a6f3-b3c47c207bf3
a62ebc2e-7d5a-00ee-8699-3c606d1d9720,f7d94987-0f4f-4d00-96ea-0fecc010ef18
a8a675fb-545c-0a33-7abf-eeef5c99dc03,df1e0374-015b-408a-b1e4-17553cb7cb6c
b18a45c8-6632-c07f-b80a-dfb05f4dde4f,d56e6eae-6d8a-4a1c-b021-01923c620b02
b2257edb-3981-341c-56c8-b79cb8263eb8,ba13b719-0b68-456a-bb09-e98768223036
bd4f7764-3026-a8a3-1e09-90e6568b880f,ba13b719-0b68-456a-bb09-e98768223036
c79980af-c1ae-2018-894d-e2126fe525b5,e2eca9de-c716-4018-a1cc-5ab3952b865f
cbe1d89b-d3d1-1215-ea06-13f7c33bdf24,814c48ca-79cb-43e8-81af-ce00bc05bf93
dc6b6dbb-edf8-340a-3af2-aef76c5691e8,a8b2e7f3-1b8f-1682-0618-dd014b10ca8c
efb3ab81-7d96-dfb1-86cc-e143e1aaac10,039b24af-6b3d-4b76-8fe2-8c2f513f391a
f1b9258c-dafc-e817-6adb-6e99c003be41,c902ff4e-5ba5-46f2-9139-baf08c0aa36f
55bd994b-191e-5390-cf7d-e8b3f2ed3dcf,f4a9cb54-36fe-445d-b280-f68fe0e6a20d
64f37b01-474e-eba9-72f4-562245b7fd8e,e2eca9de-c716-4018-a1cc-5ab3952b865f
73b88b45-6845-1dff-8c98-77ff6ec6e33a,e2eca9de-c716-4018-a1cc-5ab3952b865f
8c70420c-5a2d-93ef-595e-4f31db8575b8,224db144-b303-4940-a96a-b5187744f16f
92f9dbb7-b235-ba9c-e194-c23923ef55a6,847d54a8-ac3e-4932-938a-abc3846b6422
9ae8d9b2-4eff-390f-279a-8e092ff0ec0f,d56e6eae-6d8a-4a1c-b021-01923c620b02
9b649fb0-179c-6717-c67f-2ad785a27cc4,712bf81c-9fc2-4a9e-98e4-395af5ee5854
80ef0dcd-97eb-3650-808d-e39ac5d228bf,da5d6ef2-d2ad-4533-9076-aa09fd31c2e4
62b58035-375e-98ff-d367-4913c96a7d12,403a3279-ae76-156b-9741-12e38431caf9
1ff56303-7fd5-9440-03ce-aeca2fdf2d69,37ee75ba-fa4c-44bf-a848-d591acf91918
1595c7cf-f194-bac1-c1fb-0ec1b60b9250,ba13b719-0b68-456a-bb09-e98768223036
2ee9a171-94ad-11ca-54d9-04e2e714f4ab,ba13b719-0b68-456a-bb09-e98768223036
3adbf2a4-47b5-38dc-3241-3d7cf4f584c6,3be7ea5b-6bb6-42c2-be14-aca3c1656781
ebc35f02-6c52-b5d6-e3ef-50c9d26daf51,e2eca9de-c716-4018-a1cc-5ab3952b865f
6241e9c6-f76e-a6ff-42d7-8f57263daf0d,5aa7013b-e06b-46e0-a956-19dd19712e97
7b7a31a8-31a3-e5eb-8bf0-198dbe11a85e,48be3940-657b-4724-a139-2c12418012dd
805e728c-5733-1174-3495-0d8ec0659dbe,f8524824-049b-4462-b0f8-df5324e95ed8
aac278a6-351d-263e-13e9-005b1f2bb368,f9c5d58b-07de-4d9b-81da-54fc6e00aff8
928a37da-d993-e27a-a572-d0c79ad0cc98,d82f3ee0-add3-4fa7-b4d8-d11c393d4840
