pkid,fklocation
69cffbe7-a6b5-37de-a19e-04241b6b0e5e,ea086572-6b89-d798-1541-c51f6d9c8112
efcc8e84-aba7-990c-b6bb-63970172f43a,0949652e-5d27-8981-f4de-2cd87d1fd74f
f56aab20-e2fa-80c9-453b-1907d1f258e5,d718b3e4-0d49-3a78-ec1e-26378d9977b5
f33e31ef-03fb-301d-dbc7-eeb44611e7da,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
cb2d86a9-d946-7b9c-e3e2-4f5a8e4f7776,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
dd894c51-c561-fce4-3aab-5dddb1899eb7,1040daf8-bcd3-612a-e767-72eb9bd76cf8
3edb0abb-b652-f6e8-3ed8-6d3c6e425e2d,99a790ad-ae08-c242-f967-6ff8a668c998
f9a1a002-2ef5-9df1-0443-f27be1293e7a,8be4f331-7095-d2ac-b93f-7b0cd86c64a8
925417b5-00d4-4283-ee13-a518927582dd,7a058467-bc70-e3d0-6254-9e867698f840
f861d678-ea68-ba62-8c1b-ab5e34b30652,206db053-7ea6-ee1a-7121-2079af44e851
943da3f5-1319-1600-fdab-5c6a82c5c1b5,20b5c8d6-66b4-abb1-a115-c7e28697d197
d6316273-d602-862e-96ba-24e42d36cbc7,6e446fef-8990-0b12-becf-54ff0426b370
0e36c715-4c07-c29a-9bba-37af47b74fd9,a0ea3f3c-a573-7074-95da-9ee5df5b1170
10b3deb7-4d09-e279-5dc7-04741f4ec37d,4a1ad068-3bd0-face-9f82-bff23729b819
18d4d8fa-f7aa-2dc9-0dff-89d4087578e4,6cfd857a-6f77-cb92-3620-faf3765379cf
2b55ce68-36ef-01c1-84f7-38246e9a02db,f0ffa98a-90df-8a30-bf6d-aaabb241c0f4
32945fb2-0df3-0934-b880-e180a9e8b3e1,34b15f9f-a10f-9542-828e-662da7a14793
3ae73d23-8423-c1cc-11b5-e9d93013d6e1,2cd648b2-945b-13af-326e-d933586dced8
41dfeb43-ce53-c374-4582-9269db781215,72fafd2d-ee99-f5b7-4d98-67bda3a856aa
a2efa7d4-3425-f178-3677-feee3ba5053f,f76b0faf-5d5b-8131-ebc5-bddce7324c07
a62ebc2e-7d5a-00ee-8699-3c606d1d9720,ee66d806-d1ef-f45b-f22d-b3aeec73ca6c
a8a675fb-545c-0a33-7abf-eeef5c99dc03,4c7a6ed7-db32-8e8e-7d69-51217514695f
b18a45c8-6632-c07f-b80a-dfb05f4dde4f,8d97bcf5-e758-9bf6-16a8-cf7eb0785373
b2257edb-3981-341c-56c8-b79cb8263eb8,c7dbf512-c7cf-a1d5-2ae3-ae058feb1865
bd4f7764-3026-a8a3-1e09-90e6568b880f,c7dbf512-c7cf-a1d5-2ae3-ae058feb1865
c79980af-c1ae-2018-894d-e2126fe525b5,138e31a1-076f-374c-5ac5-27efd5e95241
cbe1d89b-d3d1-1215-ea06-13f7c33bdf24,7f7cece7-850b-991c-7310-6f7b7a656c54
dc6b6dbb-edf8-340a-3af2-aef76c5691e8,12843bee-b99c-5f32-533b-019893a8c168
efb3ab81-7d96-dfb1-86cc-e143e1aaac10,1a392931-b560-e81e-f1fa-b505ce972bf6
f1b9258c-dafc-e817-6adb-6e99c003be41,ad816b6a-50ef-80b1-8bc9-f734b955118d
55bd994b-191e-5390-cf7d-e8b3f2ed3dcf,cd55e52e-f740-4d29-2072-b675f073e33c
64f37b01-474e-eba9-72f4-562245b7fd8e,138e31a1-076f-374c-5ac5-27efd5e95241
73b88b45-6845-1dff-8c98-77ff6ec6e33a,138e31a1-076f-374c-5ac5-27efd5e95241
8c70420c-5a2d-93ef-595e-4f31db8575b8,f47bdc7a-20b3-a714-bb3e-cabf46fd2aa9
92f9dbb7-b235-ba9c-e194-c23923ef55a6,dd3f072e-4c9f-359a-bfc6-b099bb4f382d
9ae8d9b2-4eff-390f-279a-8e092ff0ec0f,8d97bcf5-e758-9bf6-16a8-cf7eb0785373
9b649fb0-179c-6717-c67f-2ad785a27cc4,67cc9487-8eb2-8597-5beb-81a51aa30899
80ef0dcd-97eb-3650-808d-e39ac5d228bf,136511d0-e352-b9b6-6766-5c62edb56fdf
62b58035-375e-98ff-d367-4913c96a7d12,093aa46e-1da9-2aca-388b-568062af50d6
1ff56303-7fd5-9440-03ce-aeca2fdf2d69,7b6eeaf2-7757-1b1d-4401-6abce2038b69
1595c7cf-f194-bac1-c1fb-0ec1b60b9250,c7dbf512-c7cf-a1d5-2ae3-ae058feb1865
2ee9a171-94ad-11ca-54d9-04e2e714f4ab,c7dbf512-c7cf-a1d5-2ae3-ae058feb1865
3adbf2a4-47b5-38dc-3241-3d7cf4f584c6,4a1ad068-3bd0-face-9f82-bff23729b819
ebc35f02-6c52-b5d6-e3ef-50c9d26daf51,138e31a1-076f-374c-5ac5-27efd5e95241
6241e9c6-f76e-a6ff-42d7-8f57263daf0d,6efae615-8093-6cff-a1ed-41f422d66194
7b7a31a8-31a3-e5eb-8bf0-198dbe11a85e,491e1ead-6967-183f-f1bd-ff38853dd3e3
805e728c-5733-1174-3495-0d8ec0659dbe,eb670dc0-54fd-c391-f25d-5974b3afc8d0
aac278a6-351d-263e-13e9-005b1f2bb368,3ead0f82-9913-c368-0423-7cb97d58a646
928a37da-d993-e27a-a572-d0c79ad0cc98,ede5e0eb-a388-c284-03ae-673dfbbb76d5
