pkid,fkdevicepool
17503804-ce16-94c6-5eba-b17034715dcb,ec6848d9-46c4-4ab7-9ef3-589470c6e397
67a78cde-6bda-7f31-4465-3dc330ce9693,ade37416-242e-41d5-9e00-c0f1d29b4ffc
6ad2fc76-6f49-a82b-ab7a-58296e6ed30d,cc4a5bc2-b37f-400d-aea0-7745e7937d97
31ddc603-5af9-f723-6d58-6f3ea177f6d1,95780a20-edfb-4f2e-af3b-dd650da2bb9a
edff1411-bd1e-13d6-0af3-df40fe983b54,270ce2d5-badc-4dd1-8e47-844a5ca00084
f0636548-40ff-06e8-203a-3fb60277ff13,270ce2d5-badc-4dd1-8e47-844a5ca00084
31aa7e9f-b4cb-792c-8af0-a7a51f838064,1d20314c-db91-6748-9481-51d905e274cf
2cae0fcb-5649-4470-50cf-8c409c6b2d68,db3a4299-9e4c-b57b-57c6-1912f7a74167
1c335e3a-d342-c574-d179-26f2955545b3,6ebf1ee3-8656-1b98-235b-606c15aeb79e
f45df9d8-3ad4-044f-9b7f-614e23fa9158,7b53e1a4-2a0f-40ae-9517-c4d57ad91ead
710707a3-71d6-f3e1-6bea-488d68a943f0,6c1d2632-6ae6-4c34-b583-6b0478bbfd7a
b55fd4e7-6faa-692d-5755-71a9b70813ba,125aff72-3e64-4e28-88fa-d2be7310d1fa
e67696e7-0297-6b1b-994f-8a5145d7d412,e9e12eb4-ba24-dca8-608b-61a029eb57d5
930d66b7-871e-7af4-fd16-e1aed079c840,5f49c36a-4d90-9616-ede8-fc951fd8f156
2e44afea-db17-2490-5d5e-5dac0b53d6e6,f8ebf2d8-6d33-44ac-d835-6015fef52540
346ca099-d7a2-4f92-7f09-2e142ed8aeb2,f5af5295-fc5f-45c6-8c36-a35809db6ba9
20b67b40-708e-978b-fcca-6a990b8d3d1d,f8ebf2d8-6d33-44ac-d835-6015fef52540
e82a82c5-31be-615c-0485-4df896525ef2,b22de932-df8f-6066-b0f4-41dfcd7f2a60
f62dfc0f-8ba9-2b24-8af9-3b40dcea48e6,2ddb89d7-c88c-79a8-0250-c88ad8a04c47
d56fcce4-8936-4fb1-5c5d-e4e2f8342e49,b22de932-df8f-6066-b0f4-41dfcd7f2a60
fe93404d-3dd8-9e26-e9fd-ce65147fc8bb,c6f913dd-5ebd-4ab3-35c3-ab6652f0913a
5d58e6f1-fa72-5819-3cd2-aaefb3857876,2ddb89d7-c88c-79a8-0250-c88ad8a04c47
4236212d-ef79-2141-153a-ffff5f9d52d4,8d502132-2e8a-4fcc-8b85-92aa24e79a46
424331d8-0b3c-844b-051b-40b1d14c04f1,95c27263-7076-435d-bfe2-143a1861b246
b3ea2b7c-465f-af9e-cd62-0930e391558e,d3f051e3-fed8-9ccb-b3cb-ba7c8e7584ed
c3b3bfed-1e4b-f359-3b12-39cad2455b09,c6f913dd-5ebd-4ab3-35c3-ab6652f0913a
dea8601f-a2ee-2e8a-43a7-b324ee7548af,8d502132-2e8a-4fcc-8b85-92aa24e79a46
27b61e55-82fa-1cf6-f100-595a6fe801f3,0aed1a1d-9d89-488f-b069-8b4e7895ade8
40a248a9-90b3-5ab3-433b-96950dc7f70e,d1242067-7e22-7829-f5eb-aa94b9ffe584
4edc2c2a-6ce4-f454-f3ed-c3ae60008c64,d68211c4-0161-45ff-933e-6f9f99c208b6
473c0f42-a66a-ef10-33e6-b16d63359285,c99c79d6-8837-cd20-27bd-08f079c88c88
24fc74ab-b89a-9384-d0bb-abfdc125bf5b,5c7be472-4ef8-6123-f0e9-98ad59fd540f
9793c91b-73e7-7050-f73f-97183e300243,5c7be472-4ef8-6123-f0e9-98ad59fd540f
17a9f9c7-ebe4-78ac-cc14-e9caa5025800,063c5d85-3b4a-7ce2-31aa-a481ac6bbe6c
08e89d8e-a21d-2736-065e-71185daf7022,f79d84af-673f-43b8-bbb3-819942ff4eca
816a541b-119c-3b06-1365-26969970faab,a3cfadb5-4901-4860-b6fd-2f99aca99f4a
d10a0fcb-e1ea-0820-ddcf-7c5663b9b492,44a653e5-d205-f3df-c550-0698daa7a897
7155f89f-69ec-fced-9dc8-1233b92cd915,ec197211-d1cd-4389-8e27-d4d466db101a
41cd0589-247c-9320-9d52-8c80ee2f5a39,a3cfadb5-4901-4860-b6fd-2f99aca99f4a
bef89b12-2aa2-ffae-92e7-dbe3b8d0ddee,ad75980d-71b8-4279-a4a8-951ee98041aa
58637cb2-2845-de18-0b6f-894ec6e45ccc,b3fdf9bf-8778-5173-76c8-bbdb4c16fb89
2ce75c21-6a7f-6555-d6d5-5c10b5402084,b3fdf9bf-8778-5173-76c8-bbdb4c16fb89
5c6838b1-2619-b7c5-f295-8a05bfc60110,faac0a1a-d7e7-1397-512f-951df6543732
cc4529d9-5526-9e17-050d-186853404116,faac0a1a-d7e7-1397-512f-951df6543732
f2d99d39-a418-36dd-7c65-4fed49ad36f7,4b920020-5c7e-95d1-258a-19040e9c209f
cce469ed-94de-121e-71e9-9059b544be06,71dc47de-6f2b-43d2-bedc-a1dea785aa7b
76bcaf3a-a726-8df0-ca00-585ad1c01be4,225d8e10-6ef3-47ce-96ca-4feb672b5a1f
47889379-43d0-7116-8e7f-3c355acb0d01,4b920020-5c7e-95d1-258a-19040e9c209f
b9c8e384-8530-5e7f-61dd-566983e994e6,4b920020-5c7e-95d1-258a-19040e9c209f
49ef9f24-493f-8066-fd7c-11bc9b07d87f,865ff706-38b1-44e9-a977-2e0b778bfeff
83121570-da1b-cb20-faaa-cbd8efa9ea55,225d8e10-6ef3-47ce-96ca-4feb672b5a1f
0d6c0610-6333-e35e-4baf-e5b61dd131e5,e4ac12b3-bd88-49ae-8d09-6b46c89f0e3d
8fff7fa8-8c6a-a76f-492e-a4c2a483a4f8,db706c26-dda7-2e6a-faa8-57884e88d5e4
d65a8565-0d2e-16db-9076-ee60950341f3,4b920020-5c7e-95d1-258a-19040e9c209f
3b86acda-bbe5-8f01-4f6d-0c3edb22c88c,225d8e10-6ef3-47ce-96ca-4feb672b5a1f
5e28b73d-8e3f-3b9d-3c1e-ba9566805918,865ff706-38b1-44e9-a977-2e0b778bfeff
89926092-9b1b-1fbd-d66e-10fc91637f65,022886af-9dd6-f7f4-e082-8ce149e87163
21befa58-ecaa-ea0b-798a-308bc2acfcda,022886af-9dd6-f7f4-e082-8ce149e87163
e767dc68-5b6d-bc59-62f0-0bb6bf51a133,ec197211-d1cd-4389-8e27-d4d466db101a
5195d1e2-2e12-1ffd-a29a-e918e62b572d,60a27070-a18e-4962-8a3f-a63fade46b88
e5955910-e375-7162-3b46-e5d8834200d1,d5ef9e52-c987-8e9f-6dba-3a5448846e9a
f5a62b3e-7efb-b0d1-f2f5-da6240e68d12,d5ef9e52-c987-8e9f-6dba-3a5448846e9a
41980921-700f-b28c-3e44-8ad0e389cd0a,3c64d81c-62de-440d-aaf6-bee3d0388177
f650da24-e931-2a41-4a64-4bc30f2f9d4a,bb9bc21d-d858-4b0f-9f7e-544621ffd7eb
eac2de98-7cd1-a27e-cede-f34f33d1fb51,95640521-5741-472a-861e-b7d8e4ed89a3
fa88d791-169b-5a81-cd9b-c4f88f60f859,703d6729-2433-2986-07e7-da4f77bc6f36
ea81bb93-b933-35a8-8323-f782f294a580,a765e777-e44b-4b22-9974-8232d45821bd
bb2e10b1-00b9-d060-ea71-2110f3f1c260,a765e777-e44b-4b22-9974-8232d45821bd
c2653650-a7ed-8043-caa8-c6896d274b61,ada69734-abe9-4f58-acaf-7ba03b162f84
b1ddc021-a30c-fbc4-e02c-ad9ad70636be,3785e8f6-8619-48e3-a2ce-0f50038ba00c
67dcf202-94e8-ff96-aa77-129c098fa078,3ea267a4-28ab-45cf-a3af-c86d98701542
ec9e8c90-99d7-fc40-26ba-01365619d6c0,07606ca2-2f1f-43cb-8ec9-14f776fc765f
9b0b2daa-835c-3984-9ad8-ccc1ada43a1b,6bbd85c0-85ab-0550-f5af-e9d8cfc47d2b
fd5c522e-f03f-c37c-e980-be0a399733ce,6bbd85c0-85ab-0550-f5af-e9d8cfc47d2b
42c01100-5e0e-fa14-35ba-564d88d6879c,e92a5195-8476-6c7c-1baf-2a278fa637a7
72e38a25-b48b-1d84-9469-1c6a4f2c9162,b6641d74-a9e4-495d-b3b2-aeb2eaa1f355
f71d7bdc-eec4-8e80-f9e5-d4a33f89ecaa,b6641d74-a9e4-495d-b3b2-aeb2eaa1f355
624b7313-1d0d-1169-9562-fe27a8d56e6c,5724b67f-57f8-45ab-bab9-1dd3a88eccb5
d5977444-0949-9b8e-7d04-39c6b4fd1a87,d73539eb-1669-55bf-43d2-8d593e939ffb
c1044d66-606f-e5bc-7a09-79a7a6ed7c97,546db9ae-e77b-ce8a-af11-ed420325b9e9
9cc9b180-0739-f607-1431-7b873d6dc0e6,546db9ae-e77b-ce8a-af11-ed420325b9e9
a8ea6252-452a-0263-b752-85effb403fa1,424864ed-c344-baef-5b0e-0c85ccb7b7c4
b17aa078-30c1-8154-6488-856bbfee3297,a7de498f-5083-7a4b-58c6-8fda0f3f359b
4c7c6979-6ab0-56f7-87e6-b4cf4db8b361,f83cc871-35f5-47b2-87c6-3d9e6098af9f
1fdf9b17-991e-6ff7-e247-dfb939c6a41a,3785e8f6-8619-48e3-a2ce-0f50038ba00c
d583fb40-b1d1-b1c9-ae27-ca3a10e9af2a,36eb1b55-11e0-46a7-9bab-f85a6cd491a1
29ee5f52-b2ab-3b86-293b-7f961aa32aa2,546db9ae-e77b-ce8a-af11-ed420325b9e9
9f1f2c10-e5f8-03ac-4787-4a7129fbde9e,0f83c02c-8705-9b4a-d897-f9dcf3bbd036
136de697-ff2f-2465-4a75-da9f7ee561b9,1758ab9f-05ef-9dfa-1fd7-4194f7530a2e
0e151461-1638-ee5b-cd72-75d92bbb15ab,338df7f3-9cdd-471e-b204-abb6f5428318
7e12c609-8cc3-e895-bab4-ac649f6a71e3,5b6ab2f0-85f9-41e2-92f0-7d9ea9567baa
