pkid,fklocation
17503804-ce16-94c6-5eba-b17034715dcb,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
67a78cde-6bda-7f31-4465-3dc330ce9693,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
6ad2fc76-6f49-a82b-ab7a-58296e6ed30d,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
31ddc603-5af9-f723-6d58-6f3ea177f6d1,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
edff1411-bd1e-13d6-0af3-df40fe983b54,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
f0636548-40ff-06e8-203a-3fb60277ff13,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
31aa7e9f-b4cb-792c-8af0-a7a51f838064,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
2cae0fcb-5649-4470-50cf-8c409c6b2d68,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
1c335e3a-d342-c574-d179-26f2955545b3,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
f45df9d8-3ad4-044f-9b7f-614e23fa9158,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
710707a3-71d6-f3e1-6bea-488d68a943f0,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
b55fd4e7-6faa-692d-5755-71a9b70813ba,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
e67696e7-0297-6b1b-994f-8a5145d7d412,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
930d66b7-871e-7af4-fd16-e1aed079c840,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
2e44afea-db17-2490-5d5e-5dac0b53d6e6,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
346ca099-d7a2-4f92-7f09-2e142ed8aeb2,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
20b67b40-708e-978b-fcca-6a990b8d3d1d,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
e82a82c5-31be-615c-0485-4df896525ef2,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
f62dfc0f-8ba9-2b24-8af9-3b40dcea48e6,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
d56fcce4-8936-4fb1-5c5d-e4e2f8342e49,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
fe93404d-3dd8-9e26-e9fd-ce65147fc8bb,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
5d58e6f1-fa72-5819-3cd2-aaefb3857876,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
