pkid,fkroutegroup,selectionorder
730f5537-e987-a6b7-dd3a-17118ad31d90,002605bc-833d-2162-9072-586643b9d88c,1
93b088d7-de29-33ef-1ea7-5591ad747cbd,bd23bd7b-57fe-8102-92ca-5c8f34419e27,1
65257996-16d1-3e1d-dac9-dc4caba88ba5,26888555-8b22-4ce4-330a-d7b7823cb381,1
48625db7-9854-cd17-3b85-ca1241bc5182,3e67fad9-fbbf-5d63-33dc-c574ca3a8088,1
c9f16946-8f35-47ac-b250-90da6261e154,54bda592-7f9b-9f50-3030-5cf0bb0f36d1,1
3a6e5616-df9a-596d-e9d5-38654dc6532c,e4d3100d-4021-b411-5292-d520ae6ee171,1
3a9ab642-612c-035e-6a0f-f929a22f296d,7bd882b9-f0f7-e3c2-2141-5bf8bc282d83,1
3bc8edf2-34a0-6caa-7ef8-43636f3afe46,34c1c803-3144-ecfb-b680-63c13732e3d3,1
3e03d94f-a2a4-fa69-fea9-199d53d2ec30,4a957769-c793-e582-f67e-ab1a5073ead6,1
3ee6e501-6915-6c1b-d778-87b1371843d4,feb0b45a-c308-dd80-de83-cee43f74e7f5,1
3efb5e9a-90dd-7172-be26-33c20c1930fd,aada146d-987f-2565-ee95-9c65590d2dd9,1
3eff1730-5da0-681f-cb7b-734ea5bdf044,0fb73854-b0b8-43b2-d9d9-30eae4ce6a23,1
40d76225-55f7-1ab7-f83c-fe140883010e,5e3b3eea-700f-d0cd-adf8-7e55eb90a112,1
422e0aa1-a53c-6d6b-db9b-519a87f3e54e,f5f96a81-5ce0-1485-77f7-f4f096c9a86a,1
4261955f-0c0d-f4ab-e2ac-b5cf56f564d7,050e5b92-0371-870a-8e60-fe1151fce571,1
45588775-e9e5-6e42-1b8b-b2647823b46e,c71a4252-8dce-8d66-fe39-612f26357c09,1
4589b980-1555-f45e-d42e-6c8549f9714d,034c8cb0-0fce-2299-b280-ef81f8f8c114,1
45903701-d6f6-4b4c-b0d0-eb7f92d36e65,18452aff-e760-a45a-a68c-839241ad60c9,1
45e65813-a9ad-d5af-eecc-15c09be449d5,023b28ef-56b7-2aa3-cc4c-9cc6ace9cd3b,1
462ad6e2-d6d9-a29b-e7b9-3e3ffac95e7f,1cd2e0ea-9a4c-f337-7b43-e9eef2b63ae4,1
4874cf20-7210-9a85-99ce-37ac05b8b126,22a548d7-3772-eeba-7d6f-e1c6d77708c5,1
48871c6c-e34a-39f4-0d86-dbc9485f971e,f93948e0-4d14-ad13-53e6-ef740deeb936,1
4994bc38-ca58-e807-a5b2-ab00ad078f0d,bb6fb9a1-ee09-e325-1919-6d1dbf9d1145,1
4aa6a574-c18f-4ba4-2696-d811296a628e,b7727727-4a4a-f3a4-b2af-37086784319c,1
4abd078f-86e8-c50c-a018-8dfeeacaff0d,cb42cfb1-5b6d-e524-7404-1528bf3bda77,1
4c2160da-5ffe-0ab6-df46-a3d8ea892eb0,57e1ba7d-47e1-9a5e-f42a-de3f9a334017,1
4f982f4e-0b89-a386-500f-5fd8f96115c3,cd660716-c7c9-9a93-c0ad-9117ac03e4cb,1
50375fbd-8cf0-c7df-b953-c3c72675d32f,45e1d1d5-fa83-fd62-6e67-7d45e0e973b9,1
51f45bf1-d2d3-c34f-dee1-39cee201cafc,41152d19-fdc6-6451-745e-b8a2e77b2b51,1
531a631d-b6e0-1bc3-0882-fb4e47f1367a,4eb31722-e48c-106f-3446-c872770f3359,1
536e7a68-753a-46da-3b2d-4600abaa06a7,8c44a591-ca1e-8ace-d0ec-ca7534d3995f,1
53cfcbc7-44aa-d8e4-61d5-78bafbf24c36,86588747-60d5-85d9-44f0-aca532e59a9e,1
53d27a96-e940-0225-99e9-fb756ec6a930,5db81383-8957-b03b-8e19-de51f4e24f91,1
5442bfbc-68e8-c23e-710e-53b481e3fd2a,3c3f85b3-884e-ea0c-23e1-030880525a7a,1
54b5f382-354d-633c-f9b8-c8fff1eba905,23e68970-3c55-b03e-be5f-927da6dfb662,1
55380859-547f-e14f-798c-751b1490cfb1,20d9667f-efc8-8859-14e7-48b38bfcb11d,1
b3a59b33-d62e-40dc-b69d-d7d8d8eabe78,6cba56d8-a43a-1165-da74-7a80b7c6c46c,1
56c54acf-eb20-3168-1e14-e9aa923d7878,a639079b-8056-547f-df6d-11addd6f78f2,1
57f27515-3317-61c5-f527-9fce636e35d7,4b80c365-d7b1-7026-796e-a8fad77f12b7,1
583c2936-1d0f-44ae-f520-a5acd5e4f119,b1f1e996-e3eb-266e-9d30-780c8f201607,1
59e6f25f-b526-d141-f992-c3e87e3a9d53,2bfa41da-70e2-39b4-2004-6413d6cff526,1
5b740308-a7c8-074a-21a1-69f7047c9b30,ee1c70b9-7c47-bb3f-8eaf-c3c11a2d2c0d,1
5d734948-4082-31c8-10d1-7a97574b06c1,d449a41a-b3cb-3fe5-1d64-63c45de9d79c,1
5d8e16f3-4944-a819-1384-7270706d68fa,53513c56-78ad-fa80-0bb1-e762e5b96c75,1
5dbebce3-d787-4251-8a7a-3a56dd85904d,cceb3991-dbe4-a307-c357-96b187646607,1
5e30c0f4-4966-ada5-5ed1-43807c22a7e1,76aec935-8128-230a-695c-d931144eeed8,1
5eaa9183-b829-9317-5658-edf7ee574aa1,34a0226c-e395-732f-b299-73dc68eb300c,1
5efc3c54-f1d2-31fd-ab8e-f9c1f760225b,97d801dd-0d40-2a36-5d2b-4be03a046267,1
5fb90675-3fd6-dc50-c9f3-eecad5f32b1e,9af758ab-5eef-e7e7-b831-1ac33b13ad13,1
5fd84ffd-4c8f-4dcb-b262-e3336c09b195,e4620a85-96bf-45e7-a260-d62ca9856fda,1
601bea4c-da40-1884-d6b1-adb0a7ef6bed,74f1fe22-728e-3144-7dce-5f8a09b2c4d7,1
6042758f-160a-f991-ff69-87b77f8eb571,3e931cd2-4142-f460-5973-5488e1bad819,1
6130af4c-4627-1406-a272-dab3a17c8285,bdb92007-5f68-77e5-4aa4-21c6e9fbac31,1
61dbd5b0-57dc-0412-5bcb-eceb36b1cd80,830e7ac1-4a27-cfa5-10cb-77f127baa20c,1
660777da-7f15-fdb4-e097-ee0006fa324c,57f617c9-70dc-3f31-5b52-96a679834145,1
673cebdd-9363-2d98-b513-45365cb4cb48,7058337f-5ccf-4e80-cc47-79ce882f7c45,1
1981f7fc-19e6-4951-b09c-330b1ea7e0c6,d0efbe2c-d361-e949-376b-3b9b0de588cd,1
685f6145-7655-a549-418b-fdc94394d108,1298bacd-a742-ee9d-eaf0-493f90d1dfc9,1
687d8347-2621-ebc6-3148-1058930a3365,c57345d0-eee1-ffda-56d0-53ff461140d5,1
6a8f6c51-90aa-2933-d835-5206650d0fb6,a203f127-45b6-2cd1-d133-028a82beee20,1
6b001503-afb3-cfd2-cf7b-58a0643f9cf7,954739e5-c4e2-c476-eaa3-614848dea503,1
6be9cb00-afc3-c4c4-0365-0eda3f47667b,ecacf02c-e24b-aa71-6526-3eadeac177d1,1
6c444cbc-3a0b-a6e7-c216-ebcb9374d3f4,fd161b2e-1db3-45bd-56f2-9a6777f71ecf,1
6c454882-44a9-ba95-7d4f-99bd01fe0663,307b41a7-7e9c-28ee-17fd-6a081304fe56,1
7ad7f49f-33a5-8b0d-b343-6b9c2ecf76f0,08e075b5-8b84-8e74-e2ab-f01367f22810,1
7b30c3f2-0d15-25f1-23c4-ce3abf9a8a81,b6219acd-1a5c-e4bb-4265-8bce7ba24f21,1
7bc58970-6915-1ab7-cb02-35ed43572d14,46868c00-92d6-3257-fb7a-23c356dd0c36,1
7cd2b7e0-ee21-ae29-a180-890e84f00fec,111e384f-0f54-9ab3-00a8-a43233f6c762,1
7d7b7f12-a4ee-acb0-5986-71cde78b8889,ed911580-9b69-8eab-01c8-607eb45bd547,1
7e01b022-4c35-924a-56c2-e1789f8c4514,9f170f63-90b3-e9c6-5ae5-0f1cc8399a77,1
7e392a56-778e-7106-966e-4b2251e83a2f,1799e418-0b4d-8e6c-83b8-4fa71b267128,2
7f078b19-4e7b-28c0-8da5-5c4c3f972d7b,cf8d5a9b-65ce-6e81-fbb2-6480cb1565bb,1
80f4a0ea-97d1-33d5-06ff-aacba24d075c,3674a651-9fcc-4be6-7837-1caa427f9a03,1
810c42a3-b027-80c5-4a9c-6ebb6c98d464,c186a669-17cb-5ffc-0758-360918cd87b1,1
81355b4d-e7a5-e894-3be9-da19b352e2a9,c7bb6e1d-a9af-a11f-8efd-07572de6f014,1
821c070d-cee1-1e8e-b7c6-bd0e958ab377,ebf22ea9-1675-2510-83ef-0a136a15b747,1
8376f769-2408-8116-32ed-b20fdf8380eb,db9ba412-cf7d-b934-57b2-074849543286,1
84d21924-2c36-4463-3f5f-2bd3ead802b7,2d82c40b-5505-6d4b-6cbb-8f9628057b37,1
858913f7-0647-042f-21e6-1691aed25eb3,7b99f142-1e57-721b-4b30-b9a976b0f503,1
8620d471-7f05-c900-6fc2-56dc24f4f398,43c2bfd2-0e54-bab6-9ba8-a021481786f8,1
865a8e88-12f2-7c1f-c954-e5740bc40a37,328b4e60-8c02-64c4-53c8-ec79a5be7fb9,1
87acb2a2-c756-e30f-0f80-124ab9028976,18b3ecb9-a2e4-a091-610b-4fda5f07bbb7,1
884cecdc-e4eb-85c9-2f48-519401407d8a,50a8f401-ab32-11ba-870b-3a7f63be2194,1
89f021bb-b0c2-3167-af00-9d6fc3fa5983,06bc710e-2175-f8ec-46ef-0a105439cab5,1
8b9c08b6-8532-2f7f-d825-b5773cae0e8d,f724affb-1e42-69b8-52ae-1849632ee841,1
132d9440-86b0-48fa-9540-e0b366897c77,0cdf05dc-6fda-79f5-33f6-0c1e52897314,1
cabd51cf-4a51-454e-936c-ed410b754336,021d967e-4899-2e37-26f7-6c66c6609d12,1
8ef4a237-4523-630c-2c49-a7e8066f5772,a33c8cf7-50b0-4743-a20b-bad204789ec9,1
8f29ce0b-47d0-d2be-a98c-b097fd341ae4,cf999403-96e5-18c0-937a-be03df50b3d6,1
90afff4c-b9e5-3d80-cdca-0aace6e6f398,47c90f66-9a25-706e-4567-b3109d521e31,1
90c818ce-cf69-74b5-99b2-93c9f59fe90e,8246d793-fa62-5be7-3b4c-ba949d9e375b,1
910857a7-e607-d236-b604-90841c317706,4817b2df-8140-f769-7790-ba4c24db2521,1
9222f303-e305-bb42-3459-eb46b79ff5f5,ab0e6faf-4c8e-0ff9-a35e-08633325038f,1
9227bc44-a22d-5d51-2ce3-e976ff623037,d1e82d4c-32df-3e9d-241a-4ccdd615334a,1
93731e39-e6e5-082d-7cda-0ba8b8fee6b2,9af4f857-2430-3c89-913c-6c4db949f227,1
937c7d06-72ae-f85d-2248-fce4b51aa2b3,8d181617-1328-3c0e-8d09-b2410d98a677,1
96d1b95a-ba61-53df-4738-aa75bc4f5856,e19107b4-0a64-b435-db3b-21411faf78b1,1
96fa61fb-bf50-4073-edbb-666cff24b8a2,2ecf333b-b1a3-add1-6d87-1ee22f8d4516,1
97300b76-5203-8087-2b7e-f58442d8b834,034c8cb0-0fce-2299-b280-ef81f8f8c114,1
995e6cce-deca-8b07-4b41-ab46d9fe476b,b67c123b-8d08-0214-98dd-107669ad102e,1
99eba067-f6fb-1f03-5bcc-f3aa41b41fcc,a07b5639-a446-eb45-d0aa-17b92f4e4a17,1
9b9dede2-216f-7ac0-08aa-3f39800b875d,5a35bc9f-b3da-33d1-4fed-df616cfe2ad2,1
9e9b1629-abaa-f98e-3f19-8bd377a127ff,fd4a161d-0b4c-72f8-5d0d-cd619a5b95ad,1
a063ceed-3b27-d551-de75-b9ee626047c5,dff7298e-d1ef-8506-b2bd-753501fde875,1
a11f136e-a346-0d9c-1747-dce6beecc256,1af26f39-fda6-b10b-0542-a62c55d905e8,1
a17cf67b-ca13-216c-d83b-7030f5a71926,6210da98-bc34-3d1d-21ee-4ea748063da8,1
a288d68f-ca9e-d065-cbe2-8ff2cb0c2ceb,3ad7e021-dde4-15c8-f042-f5ab312c25ca,1
a532c681-9963-3ec2-421d-c83417babc38,7eca19b0-5074-92f0-deeb-8ee3f29a76bf,1
a78ac3dd-2311-2ae6-a8cc-7b8668439d19,d117ac4f-edd9-1a15-a13e-4390349e6c69,1
