pkid,fkroutegroup
730f5537-e987-a6b7-dd3a-17118ad31d90,002605bc-833d-2162-9072-586643b9d88c
93b088d7-de29-33ef-1ea7-5591ad747cbd,bd23bd7b-57fe-8102-92ca-5c8f34419e27
65257996-16d1-3e1d-dac9-dc4caba88ba5,26888555-8b22-4ce4-330a-d7b7823cb381
ef0ee623-0c41-2dc5-1760-3b59dfb5ac5f,
48625db7-9854-cd17-3b85-ca1241bc5182,3e67fad9-fbbf-5d63-33dc-c574ca3a8088
38c3c347-6774-e41b-4e30-9e8eff24c9d2,
3926b2a4-7323-c213-a67f-6e42164b26d8,
396a995b-d627-119c-7bf9-a60135ddf879,
c9f16946-8f35-47ac-b250-90da6261e154,54bda592-7f9b-9f50-3030-5cf0bb0f36d1
3a56d486-9532-068a-abcb-a96294499108,
3a6e5616-df9a-596d-e9d5-38654dc6532c,e4d3100d-4021-b411-5292-d520ae6ee171
3a9a958f-3b6c-6284-c58d-590443ca965b,
3a9ab642-612c-035e-6a0f-f929a22f296d,7bd882b9-f0f7-e3c2-2141-5bf8bc282d83
3ad21574-9e73-d9ce-df42-8093eaed27ac,
3b364616-bad6-8345-9244-893d108efad3,
3b89561c-7c76-dd36-21ca-e0e1e5b96dbb,
3bb2bdd1-43ef-d40b-51bf-364fc8ab3b72,
3bc8edf2-34a0-6caa-7ef8-43636f3afe46,34c1c803-3144-ecfb-b680-63c13732e3d3
3be09868-abea-d08e-2cb1-6a7b6b429d39,
3be78cfe-357c-dd60-62fb-78c641b09d9a,
3c3fa3e6-7689-821c-cd7d-bf390d3f3811,
3ccfc361-1d8e-96fb-f317-f5af2f57ad5c,
3cd73516-7958-1d8c-d14d-0f9104e8d736,
3e03d94f-a2a4-fa69-fea9-199d53d2ec30,4a957769-c793-e582-f67e-ab1a5073ead6
3e6fe3e1-e10f-039e-3d49-c0fbe15d1693,
3e9855ad-a63d-bc93-db66-cf0015ff6a8a,
3ed285fd-d51e-cdaa-8952-3b4e30b8396b,
3ee6e501-6915-6c1b-d778-87b1371843d4,feb0b45a-c308-dd80-de83-cee43f74e7f5
3efb5e9a-90dd-7172-be26-33c20c1930fd,aada146d-987f-2565-ee95-9c65590d2dd9
3efb77f4-8c60-dbe8-6423-eadf015d47e7,
3eff1730-5da0-681f-cb7b-734ea5bdf044,0fb73854-b0b8-43b2-d9d9-30eae4ce6a23
3f504940-8625-dc86-4f01-f625f00bc6db,
3f90bfce-a909-af04-9b96-1fc1ee838c14,
3fda86e6-310b-19dd-edd1-19c804e320ba,
403c18d3-295b-3490-c3d0-98b8559047aa,
404121ca-56bc-f4ac-3578-4273ed01c82f,
40454d6d-505a-46b0-9aa9-6119dc32ff2c,
40d76225-55f7-1ab7-f83c-fe140883010e,5e3b3eea-700f-d0cd-adf8-7e55eb90a112
41673ba6-9e99-e144-f9b8-0c883532613e,
41750e1d-dede-dd9f-1060-308cb5024e1e,
42241620-c323-43a8-129c-d861103dcc4c,
422e0aa1-a53c-6d6b-db9b-519a87f3e54e,f5f96a81-5ce0-1485-77f7-f4f096c9a86a
423a7960-25e9-d805-94fa-6b0283fa7fd3,
bf04215d-6add-f6c6-1acf-d5e747e3db9d,
4261955f-0c0d-f4ab-e2ac-b5cf56f564d7,050e5b92-0371-870a-8e60-fe1151fce571
4281cd0a-3d27-2f77-75d2-459d3d5aba32,
42ea00d5-22f6-3ae0-4c59-1080db506700,
42f9a9fd-146f-a455-7de2-873b4a6ea990,
43183c2d-b918-1df3-0b22-5d5ff775e3ec,
4374ba9f-3755-3283-2a7c-e7c56fdfd9c6,
43a04ac7-7499-0c3f-fcb5-7f68121605b3,
43f12311-2dbc-177c-6a57-93389dc27880,
440f228a-e48b-43bb-a23c-209288344a25,
45588775-e9e5-6e42-1b8b-b2647823b46e,c71a4252-8dce-8d66-fe39-612f26357c09
4589b980-1555-f45e-d42e-6c8549f9714d,034c8cb0-0fce-2299-b280-ef81f8f8c114
45903701-d6f6-4b4c-b0d0-eb7f92d36e65,18452aff-e760-a45a-a68c-839241ad60c9
45e65813-a9ad-d5af-eecc-15c09be449d5,023b28ef-56b7-2aa3-cc4c-9cc6ace9cd3b
462ad6e2-d6d9-a29b-e7b9-3e3ffac95e7f,1cd2e0ea-9a4c-f337-7b43-e9eef2b63ae4
465cf19b-2379-638a-adc8-c88ec43afff5,
4666a96b-d4fc-32a3-008a-7f4167278b53,
469be073-097e-83cc-0202-71987cd217ba,
4794b7e6-d49f-2d78-a9b8-22023d23f89a,
47c3aaae-2392-e7be-9ee4-464815d60b20,
481e685e-37cf-5648-86dd-150f949ee421,
4874cf20-7210-9a85-99ce-37ac05b8b126,22a548d7-3772-eeba-7d6f-e1c6d77708c5
48871c6c-e34a-39f4-0d86-dbc9485f971e,f93948e0-4d14-ad13-53e6-ef740deeb936
491d97c3-cf71-a53e-992c-cff052c71ebe,
493e75a9-e092-07a8-4b23-9c9132a642a8,
4994bc38-ca58-e807-a5b2-ab00ad078f0d,bb6fb9a1-ee09-e325-1919-6d1dbf9d1145
49baecf0-d7ef-cdf9-7ed2-2eb26d2c629b,
49f2abea-227b-967a-40ff-051f55823449,
4a951948-60d1-3ceb-f6ae-a7537c9b4e77,
4aa6a574-c18f-4ba4-2696-d811296a628e,b7727727-4a4a-f3a4-b2af-37086784319c
4abd078f-86e8-c50c-a018-8dfeeacaff0d,cb42cfb1-5b6d-e524-7404-1528bf3bda77
4b7e6a9e-a00f-686a-3e25-ca8a226b4fcc,
4be20b99-25d6-9a14-5616-07c6261399f4,
4be76e77-4a97-470b-9b09-19e8ef728d32,
4c2160da-5ffe-0ab6-df46-a3d8ea892eb0,57e1ba7d-47e1-9a5e-f42a-de3f9a334017
4c57dcd1-79ce-153f-3ea9-c016e569ad08,
4c5bcaf4-c126-fc17-33a3-ea8ff144af53,
4c701412-1efa-8737-5fd0-80d1bec0912f,
4c9d42d6-3e9b-4422-aa24-9c4b07ad4c7f,
4ca34d1d-96f2-08d5-e6aa-53ca222fec1a,
4cd560af-cec6-381f-4416-7fb66642cde3,
4cefca70-a92e-691e-eb36-2a23e76839bd,
4d3579e1-106b-f073-738e-a515145426cb,
4df51c09-f94b-9ff7-2eda-6747fc7bc0eb,
4e2f82d5-88e8-38d1-4b24-a708ae159af8,
4f34f32d-d3d8-4ada-80dc-2e26de821b47,
4f982f4e-0b89-a386-500f-5fd8f96115c3,cd660716-c7c9-9a93-c0ad-9117ac03e4cb
4f9e01c6-2acc-8a44-fd3c-5fd3b36845d0,
4fbd19ce-7148-8ece-12ec-eeab50f15358,
36cbcbc2-4491-4ce9-8edd-8302e47ac0a5,
4feec1d7-3100-f631-7a6a-c33516837ac2,
50375fbd-8cf0-c7df-b953-c3c72675d32f,45e1d1d5-fa83-fd62-6e67-7d45e0e973b9
504e075e-f80c-7248-5b0c-902def1fb51f,
5093f607-53f4-00f0-0168-eebdf3bf96d5,
50f46400-bc15-b6e7-fc2f-bb591faa60a6,
513453ea-949d-a7d1-fc4b-1a46e4cf611d,
51ba55ee-b782-d516-bcb4-4fde4fbb8586,
51d663e3-7606-f2d3-a480-cfb7f4ead96e,
51f45bf1-d2d3-c34f-dee1-39cee201cafc,41152d19-fdc6-6451-745e-b8a2e77b2b51
5246217c-55d2-c98f-0bc3-1a17be2ca443,
527f5f08-7fd0-443e-98ab-142353034413,
52e803cc-5e41-e3dc-b4b6-ff9ed1ae671b,
531a631d-b6e0-1bc3-0882-fb4e47f1367a,4eb31722-e48c-106f-3446-c872770f3359
535e4a9a-610b-4481-ab5d-8e0fd2836ccb,
536e7a68-753a-46da-3b2d-4600abaa06a7,8c44a591-ca1e-8ace-d0ec-ca7534d3995f
53cec261-5733-fb54-1d1e-f37b8641cab3,
53cfcbc7-44aa-d8e4-61d5-78bafbf24c36,86588747-60d5-85d9-44f0-aca532e59a9e
53d27a96-e940-0225-99e9-fb756ec6a930,5db81383-8957-b03b-8e19-de51f4e24f91
53dc2f29-cccd-d788-a6cf-a82262bce8a1,
53e27f8c-b221-9848-487d-3c4bf6fd5285,
5442bfbc-68e8-c23e-710e-53b481e3fd2a,3c3f85b3-884e-ea0c-23e1-030880525a7a
5448fcfb-6a90-e13d-7183-ad36b4a043af,
544d21e5-64ed-1082-6621-5aa23892d51a,
5470469f-1173-474d-963a-f4bf3dc83068,
54b5f382-354d-633c-f9b8-c8fff1eba905,23e68970-3c55-b03e-be5f-927da6dfb662
55380859-547f-e14f-798c-751b1490cfb1,20d9667f-efc8-8859-14e7-48b38bfcb11d
5546df7e-4a8a-bee7-67dc-24226ef79351,
5611d37e-0cde-7d4d-5997-75dfcba1939c,
5624497b-83d8-463f-aba4-1fcfae814108,
b3a59b33-d62e-40dc-b69d-d7d8d8eabe78,6cba56d8-a43a-1165-da74-7a80b7c6c46c
565c0a81-e669-357c-7794-e4bb54a140a6,
566bfdf4-8d26-e93a-e048-c15e90e8e3d0,
56a07714-0e05-98bb-ef33-7eb4ab5dd6e3,
56c54acf-eb20-3168-1e14-e9aa923d7878,a639079b-8056-547f-df6d-11addd6f78f2
56cdd767-d049-4d86-8b17-71338b516639,
57305398-c7bc-ce7a-bc25-364c6a47d414,
57f27515-3317-61c5-f527-9fce636e35d7,4b80c365-d7b1-7026-796e-a8fad77f12b7
583c2936-1d0f-44ae-f520-a5acd5e4f119,b1f1e996-e3eb-266e-9d30-780c8f201607
587712b4-6dab-13c4-3c88-f9d74d0d9e27,
5883a132-410f-6ecc-c078-7438585b2ead,
58a1d541-472d-6e3a-75ee-e2fcb76d9c19,
598ae865-aad8-69d2-fd8d-b9b6f2f222d9,
59ac654b-03f4-f773-a57d-c530b91ab685,
59e6f25f-b526-d141-f992-c3e87e3a9d53,2bfa41da-70e2-39b4-2004-6413d6cff526
5a0e57f8-f20f-1f51-d963-fb23ce4494b7,
5a0f979a-bc14-d60d-c923-63a69e7748c3,
5a2210a9-7b9d-70d9-9416-765526119287,
5aa17d9e-b928-5327-3b06-be1d9a08643a,
5ab40b1a-c260-4b1d-b472-3f725048d927,
5afc0cee-152c-7fc5-9f63-71e0df321aed,
5aff6a15-d52b-4dcd-ba6d-aa176f731fea,
5b13df90-6867-c30b-218f-e30e71fd472b,
5b740308-a7c8-074a-21a1-69f7047c9b30,ee1c70b9-7c47-bb3f-8eaf-c3c11a2d2c0d
5c56202b-c1fa-078b-0c34-01886445db11,
5cc40398-dd4a-4c07-8b9d-03fdab5f59ed,
5d168ff6-66f7-a9ff-609a-7c5833ba8778,
5d2c29b5-7a50-0c76-c984-d21aa918c3fa,
5d734948-4082-31c8-10d1-7a97574b06c1,d449a41a-b3cb-3fe5-1d64-63c45de9d79c
5d8e16f3-4944-a819-1384-7270706d68fa,53513c56-78ad-fa80-0bb1-e762e5b96c75
5d9a4a17-9594-44e9-8b57-59450b937bed,
5dbebce3-d787-4251-8a7a-3a56dd85904d,cceb3991-dbe4-a307-c357-96b187646607
5e00a325-34f1-a0ca-3cfe-bc354dc9bb9e,
5e1cc159-c69f-eb9c-795e-d708e1217479,
5e30c0f4-4966-ada5-5ed1-43807c22a7e1,76aec935-8128-230a-695c-d931144eeed8
5e8c2906-9dbd-54f9-a013-25b46f0d6e34,
5eaa9183-b829-9317-5658-edf7ee574aa1,34a0226c-e395-732f-b299-73dc68eb300c
5efc3c54-f1d2-31fd-ab8e-f9c1f760225b,97d801dd-0d40-2a36-5d2b-4be03a046267
5f080cc4-a424-40ad-d612-941fc720ccab,
5f1c45b6-574f-5250-b2d7-b4554228f096,
5f8a7bec-1e4c-7bfa-1392-d2138ff5290c,
5fb90675-3fd6-dc50-c9f3-eecad5f32b1e,9af758ab-5eef-e7e7-b831-1ac33b13ad13
5fd84ffd-4c8f-4dcb-b262-e3336c09b195,e4620a85-96bf-45e7-a260-d62ca9856fda
5ffb7597-7808-3bf9-7d36-d730d09920bc,
601bea4c-da40-1884-d6b1-adb0a7ef6bed,74f1fe22-728e-3144-7dce-5f8a09b2c4d7
601c61e3-7f75-dbd0-7146-f7347955e62e,
6042758f-160a-f991-ff69-87b77f8eb571,3e931cd2-4142-f460-5973-5488e1bad819
60a9b4bf-b137-dc1f-de9b-2128c990906d,
60e9531a-01d4-9ecb-f3c7-691eb4339e2b,
6130af4c-4627-1406-a272-dab3a17c8285,bdb92007-5f68-77e5-4aa4-21c6e9fbac31
61462b48-9dc7-1e05-4f63-f47a236a7cc8,
61b17ed3-bfa3-7d4b-f6e3-80369f016e18,
61dbd5b0-57dc-0412-5bcb-eceb36b1cd80,830e7ac1-4a27-cfa5-10cb-77f127baa20c
62206e5d-6179-2b87-ced6-13f68da6c497,
622a188b-c288-5817-514f-2d2340a1d722,
62dbb90d-a96f-4c79-a34e-728ff140ae75,
62e3a0f4-acb1-3540-278f-d9840e6fc778,
63110b5a-1dcc-c492-db61-2acff31111d3,
639284b3-4b42-c875-a4aa-57329aaee4da,
63ce87da-1ce9-4373-3497-4f568ddda951,
64335862-3859-a7ce-8c81-f77f6c1b957b,
64dfc3b8-172b-3130-f08c-9a4fb4c1bc47,
6506887d-44df-d388-9141-fa847e90b91f,
650c66cc-3c87-8c06-7a9b-bae2e838eb39,
653341bd-75f9-493d-e418-682934447c80,
99328c00-401e-1319-a831-9f8633625c33,
65ab5f86-e04e-429e-1d40-9a9ec642fa8f,
65c06d48-cfc0-1f10-d782-de7608dbccb2,
660777da-7f15-fdb4-e097-ee0006fa324c,57f617c9-70dc-3f31-5b52-96a679834145
66a24a91-9e23-310e-de69-c30f6b0fe6d2,
66b023dc-9cca-4355-ae2e-ee3231fd0275,
6733639b-9428-3884-485a-642867b5aa93,
673cebdd-9363-2d98-b513-45365cb4cb48,7058337f-5ccf-4e80-cc47-79ce882f7c45
6743b571-5c5c-1e15-f16d-20025d951c2b,
6778f486-fbd8-302e-4250-d438d9658b62,
67a6671d-4ca9-8d01-b736-107b98d30d4d,
1981f7fc-19e6-4951-b09c-330b1ea7e0c6,d0efbe2c-d361-e949-376b-3b9b0de588cd
6807c1cf-11a3-7ac7-83b2-f9c28d0a8f30,
685f6145-7655-a549-418b-fdc94394d108,1298bacd-a742-ee9d-eaf0-493f90d1dfc9
687d8347-2621-ebc6-3148-1058930a3365,c57345d0-eee1-ffda-56d0-53ff461140d5
68f76dad-6cb4-19c0-5299-9a2825169ea5,
690b4339-8b9b-3b02-d406-ae8cdeb86d9d,
694c42eb-506a-8f5f-33ab-408030482d97,
69d845b6-d2b6-b21d-d640-b87cb0b07bb6,
6a8f6c51-90aa-2933-d835-5206650d0fb6,a203f127-45b6-2cd1-d133-028a82beee20
6b001503-afb3-cfd2-cf7b-58a0643f9cf7,954739e5-c4e2-c476-eaa3-614848dea503
6b7b0f5e-512b-4ce2-8f19-1df7bc2b7da1,
6bae299f-220d-6fa4-637b-6a404d549822,
6be9cb00-afc3-c4c4-0365-0eda3f47667b,ecacf02c-e24b-aa71-6526-3eadeac177d1
6beff022-168f-4fb6-f7d9-04e747265da6,
6c444cbc-3a0b-a6e7-c216-ebcb9374d3f4,fd161b2e-1db3-45bd-56f2-9a6777f71ecf
6c454882-44a9-ba95-7d4f-99bd01fe0663,307b41a7-7e9c-28ee-17fd-6a081304fe56
7a645f5a-5c2b-6e1f-8c7c-c0781c85eec0,
7ad7f49f-33a5-8b0d-b343-6b9c2ecf76f0,08e075b5-8b84-8e74-e2ab-f01367f22810
7b30c3f2-0d15-25f1-23c4-ce3abf9a8a81,b6219acd-1a5c-e4bb-4265-8bce7ba24f21
7b4f8b6e-51f9-e38c-8f78-987cae44d17e,
7b594e84-f312-3711-6fbd-46289d3f6769,
7bc58970-6915-1ab7-cb02-35ed43572d14,46868c00-92d6-3257-fb7a-23c356dd0c36
7cd2b7e0-ee21-ae29-a180-890e84f00fec,111e384f-0f54-9ab3-00a8-a43233f6c762
7d7b7f12-a4ee-acb0-5986-71cde78b8889,ed911580-9b69-8eab-01c8-607eb45bd547
7da49d34-7728-b936-9b22-95d3461c4c0b,
7dabb902-307b-8665-da28-81ea6e37bed5,
7e01b022-4c35-924a-56c2-e1789f8c4514,9f170f63-90b3-e9c6-5ae5-0f1cc8399a77
7e392a56-778e-7106-966e-4b2251e83a2f,1799e418-0b4d-8e6c-83b8-4fa71b267128
7e74225f-ec54-087e-3da8-337ca168c136,
7eba48f6-003d-aae1-df41-2bb29049583f,
7ee3a59c-8c3a-4810-b32d-d138993c120b,
7f063d23-5870-1e6e-6caf-0c099325d065,
7f078b19-4e7b-28c0-8da5-5c4c3f972d7b,cf8d5a9b-65ce-6e81-fbb2-6480cb1565bb
7f7224ac-dd47-f427-f9e9-c1678d9225ec,
7ff2ab8a-da89-9653-2609-76242a557a2f,
7ffe8dcd-4213-ad1d-1c17-f1152c056674,
80144bcd-1abd-f5b4-fbf6-d55dcd8f7ac3,
80b8f11f-fccd-3aaa-7bb3-de9f0e0b81c3,
80d15ab8-eb4d-8b7b-afa6-9bb60d3c7d26,
80f4a0ea-97d1-33d5-06ff-aacba24d075c,3674a651-9fcc-4be6-7837-1caa427f9a03
