pkid,fkdevicepool
9dced684-e3cc-6bb8-f4d4-ad81f54e74b5,3281e056-b719-7e33-a033-103de68f547c
c6d51616-0de4-c3df-ee8b-e1bc3d058295,3281e056-b719-7e33-a033-103de68f547c
0f62d3d8-7890-79c2-5a2a-e1cf15e5e71c,3281e056-b719-7e33-a033-103de68f547c
8927a9da-b27e-7033-9bd0-7b055a396a4e,3281e056-b719-7e33-a033-103de68f547c
4c2f5423-0e88-ba40-ac44-17a5eb106c96,3281e056-b719-7e33-a033-103de68f547c
e2f3e4e7-dae6-7d77-6c6b-9b6b9b42a81a,0f6c8f0e-f07d-486f-a5a2-30fae1fa297b
d8662d9d-611a-8e39-2e46-aa48eb1803d9,ac4fb3e2-637a-4a04-9df3-3b45dd7cc8b0
ab1e3e8d-32e6-cb0a-2eb9-96f4607cacbb,edc299fa-ed0e-408b-b7f1-32f133d52577
75aff92f-a6c3-60fe-1199-e648c82e9fab,2d4c6794-6967-48e7-a1bb-24e90580f060
0518e4b9-cdf0-2be0-a3da-34ac0a145c3d,085a5ad4-f6b0-4e6f-b4f8-09b83ea2ff1d
50070aae-f894-4de6-690a-5b3e6bd846b4,343559cc-711e-4da7-970b-3c0e3c97c30d
e1626ab7-7a87-2ece-e047-fb7b08b7e812,9d184094-477a-4876-b05f-750eef2f0023
e473d18c-0968-e3ee-5131-8e47513539b7,3f033265-c166-4e27-8b58-cfeaaf3518de
283502c7-5484-012f-94fb-759bf9576aea,24fa8e1c-6c40-4e8c-8f0e-6d075d41c8e2
6d06c168-0c11-231a-f844-89ba2c60438f,3d64fcb2-fb50-47d7-8ff0-7c83bea4fc2f
fa2a4879-deee-fa5e-d763-7bc3770b4e26,3ffd194c-9a3f-4584-9e3d-5bdf0fa5523c
781d9e02-4705-e713-8a13-ef81cac27370,5f7f75f2-cf13-430f-9671-503ce49e6911
e89d25f1-e4e1-529a-c5f9-98d1e84710b6,cf387d3e-9a4f-4ea0-a5d8-1caa7bc3625d
e5c6fa1d-1f18-d5e4-ed6b-27ee21d06b2d,03f6ede8-c0d6-4591-8048-c3e10b23003b
0b5737d0-d096-ffe4-722c-7507710d10d6,6586056a-d916-408e-83d0-26b2223e4187
60477f3c-01c8-a189-f906-6e1e0c126cc2,8ddc2c15-fb28-42c1-aab5-eba1dc435556
f5593adf-3b29-56d7-3b13-30eb292d090a,04fc0389-115b-4710-b3b8-cbe2fa617c30
ccd1b77d-b9f4-8879-cb99-12bfed1df711,1d4db1a0-bfa6-50e0-86ef-5bd019a34fde
78f6374c-b763-ed92-b7cd-8dba7eb27fff,86f7bc3c-b7f1-4f44-93b8-1a96be1f5e59
c48b00ed-5dbe-3b43-36a1-548f1f84a6ce,961be722-60d7-4e38-92b6-9a6f873037a6
8cc5f1e3-947d-d1d0-ed8a-f6e5f571e435,429b066c-4a7d-4dd0-a165-59e62f169b01
ec1a680f-9f60-3a01-b497-90c50ece43ec,7f3d3e23-3440-42bb-8b74-e455906fdfa0
fbdf9fc0-2dc9-89d1-d87b-b445758a5e66,e78eaee0-680e-4f95-9f2d-a01f85cdf388
9adfc91e-8768-7785-2913-783cce789b58,64be8c85-4d0e-4b41-8fc5-aa55728c8c98
606fd3c6-c193-033c-c876-3383e477de88,54d65e95-aafb-4e78-8532-ce34a021b32a
f6364ac8-422c-e739-f68f-2ed24d544725,83202fde-9ef4-437d-a413-a368e90e0734
b49ee355-95d9-6fa0-a3b1-5cc9777fb348,b14f69f0-5d33-4f2c-895b-8ef8b42db9ec
62c257ab-dd26-b6fb-2334-2efb59f5b526,f9e5c7af-7365-4395-bb80-dcd9d5a65cc9
da1762ce-fd76-df4f-9d3f-ce3499af73ff,b6f1d426-fce5-49a9-b758-42e55dc0f67b
0727f225-c876-57f8-23e2-ee1905d0c723,1a61f32c-23b8-49b5-aa49-921c179b7f94
7c23871a-1bbe-2b58-64f5-044bda681ec4,bf935f2b-63d2-4680-abda-21473a388b99
8cb5101c-0fb4-ed89-7a41-e4ccc33cc625,5eb7ff58-9cde-4c63-be8e-5649d3861dc7
dcbdbc49-bbe5-9214-d4ec-8d2623f8e689,85f47329-51f8-4a65-a847-8459f8a8d168
809733c5-e92e-4586-8a90-0d105543ac3c,cc26675a-4593-42af-b980-fa10b6fc4b6b
b8a11256-6570-62b9-4194-674dd8def24b,131e4274-83bb-4749-9b0a-1f6c31c0f00f
9fb60914-7193-3f5d-5f8d-731bc21f136a,94ecceaf-90b1-4f78-95dd-00f8ad14b147
b5e706b7-0dcc-874e-8b16-547f131898d8,14584c13-1196-4787-b985-9eb117570852
422f964b-c5fc-005c-d5d2-3c6afce37d3e,60fc5a09-8409-464b-8820-b9c1d431edd1
07b1fe25-3a84-01d9-5dfa-a0a28c24c6df,89281c04-b17f-4193-810c-dfda73afb045
c39dfe08-7333-a727-17d8-3e04c44bb023,643a5824-fba5-4bac-b9c4-a796688986c5
16d1d186-58ac-18be-8235-85761ec9f7db,adf3361e-5c9b-413f-93ce-4bd67f8dc477
4cc391c5-df55-d8bf-7338-6621e52da231,9106166d-1418-4ed2-aca6-3d1259bfb30f
04aa5b6a-1f15-0b89-248d-d6339f7e2f65,00350919-dbef-4687-8ea3-5c62967019c0
d1614691-7d9f-f402-9afa-1458d774405a,13c21403-7de8-4cb3-a66b-46df241e9fc9
3e65dc2b-cdf2-abb9-bf69-5bb51e61f1cd,e921871f-b2f6-4464-af76-51255bb2a9fd
de14a560-90c3-adee-4236-17615c51603f,eede7345-fb6e-4749-a6c5-16e88a864744
74157ffb-3706-cb2e-5168-57241bfbf409,21f8ff8a-9872-437c-8b8d-239106b1a66f
cf4c81ec-5777-40f2-477a-e6700086285b,473c867e-b6ac-4ecd-8439-29d54c8ad66a
014d6fa7-1df4-4208-bedc-3f17915d9945,672850ce-993c-40bd-883e-e9880f875b2c
77b3a387-db3c-a12f-2d47-3a6e72fec3c3,a13483fd-f5db-4306-bf05-ba5cce5c0cfd
61a88070-8c6d-eac6-7445-8a82a3de5453,21d4b634-d36d-42e2-8271-52c8ee47fef9
e82c2f2d-6e12-01d0-64e5-8bbc7e72c029,d47bf9eb-017e-46cd-84dd-2edf303e43da
7ab0d061-977b-5bad-204b-468eb4c76e89,35b19af6-2f66-4e26-bc15-d1464b32a0e9
c9359510-c87b-950f-5a09-505f4d54ef75,d3cdb8bb-173b-4ccf-9afd-fa45bb773a42
698392f7-f38c-a540-282d-813ecd373603,50b77891-a6ce-4b46-b14f-82e45600ba6e
