pkid,fklocation
9dced684-e3cc-6bb8-f4d4-ad81f54e74b5,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
c6d51616-0de4-c3df-ee8b-e1bc3d058295,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
0f62d3d8-7890-79c2-5a2a-e1cf15e5e71c,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
8927a9da-b27e-7033-9bd0-7b055a396a4e,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
4c2f5423-0e88-ba40-ac44-17a5eb106c96,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
e2f3e4e7-dae6-7d77-6c6b-9b6b9b42a81a,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
d8662d9d-611a-8e39-2e46-aa48eb1803d9,f6dd372a-6acf-2f63-8f3c-d9cbad325307
ab1e3e8d-32e6-cb0a-2eb9-96f4607cacbb,17c5f563-17a1-0637-f818-8fc24937e265
75aff92f-a6c3-60fe-1199-e648c82e9fab,725006c4-230b-cef6-bba1-f7b9446e3d2c
0518e4b9-cdf0-2be0-a3da-34ac0a145c3d,9c39e7d4-8191-4682-449a-092feb410daf
50070aae-f894-4de6-690a-5b3e6bd846b4,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
e1626ab7-7a87-2ece-e047-fb7b08b7e812,081c6684-7db4-9d29-82f0-bb7c9e218809
e473d18c-0968-e3ee-5131-8e47513539b7,7608a144-220d-925d-c55e-416b84345d8d
283502c7-5484-012f-94fb-759bf9576aea,eeea2b56-a197-1fad-16fe-94786a1b781d
6d06c168-0c11-231a-f844-89ba2c60438f,7ef37993-356d-23d0-4862-414ad07959ce
fa2a4879-deee-fa5e-d763-7bc3770b4e26,c39d777a-3f8f-4d8f-5b2c-5eb4f821d7bb
781d9e02-4705-e713-8a13-ef81cac27370,ab5026df-6f4d-5155-e669-9d3dd04cde3f
e89d25f1-e4e1-529a-c5f9-98d1e84710b6,b1773002-0ccf-5616-d1bd-8e6ac3eb55e4
e5c6fa1d-1f18-d5e4-ed6b-27ee21d06b2d,9ea1b503-1d95-dca7-c14f-60493082f6f4
0b5737d0-d096-ffe4-722c-7507710d10d6,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
60477f3c-01c8-a189-f906-6e1e0c126cc2,418664c4-c696-b45f-d1b9-745cedef254d
f5593adf-3b29-56d7-3b13-30eb292d090a,fee42086-f932-b9da-a5c2-35d6c509eef9
ccd1b77d-b9f4-8879-cb99-12bfed1df711,7f7cece7-850b-991c-7310-6f7b7a656c54
78f6374c-b763-ed92-b7cd-8dba7eb27fff,85f5c8a7-5fe0-285f-fdf5-94e13f786d8a
c48b00ed-5dbe-3b43-36a1-548f1f84a6ce,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
8cc5f1e3-947d-d1d0-ed8a-f6e5f571e435,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
ec1a680f-9f60-3a01-b497-90c50ece43ec,50c52270-eb64-1d43-0c01-f45b06280c21
fbdf9fc0-2dc9-89d1-d87b-b445758a5e66,20b5c8d6-66b4-abb1-a115-c7e28697d197
9adfc91e-8768-7785-2913-783cce789b58,bbc9e35e-09d7-6a41-80f6-cb5eb64abdeb
606fd3c6-c193-033c-c876-3383e477de88,3349bf0b-9539-05f1-3a13-e4bb886b8fa8
f6364ac8-422c-e739-f68f-2ed24d544725,79066e3d-95fc-954d-bda5-79a26d518c34
b49ee355-95d9-6fa0-a3b1-5cc9777fb348,560f70c6-cc56-112b-fbda-6e2045137f24
62c257ab-dd26-b6fb-2334-2efb59f5b526,74242bce-915c-78f9-86d7-92606fdc2955
da1762ce-fd76-df4f-9d3f-ce3499af73ff,074df983-2507-dabb-0360-17e5c30374c9
0727f225-c876-57f8-23e2-ee1905d0c723,d1b034e2-1ec4-12c5-49e7-2a32a32e6699
7c23871a-1bbe-2b58-64f5-044bda681ec4,6b66a367-d237-bf40-b013-0a9bfb11ea6d
8cb5101c-0fb4-ed89-7a41-e4ccc33cc625,ca595561-18d1-4680-fe25-5cc414cd5135
dcbdbc49-bbe5-9214-d4ec-8d2623f8e689,8541e017-1ba1-61ee-ea6d-7d39264a39dc
809733c5-e92e-4586-8a90-0d105543ac3c,cee3a41d-222e-8bf1-973a-1212f4ed7c4d
b8a11256-6570-62b9-4194-674dd8def24b,3ddf6380-4f18-27cc-42cc-bbd692fa6642
9fb60914-7193-3f5d-5f8d-731bc21f136a,f2bc9be6-aa9f-382f-2f35-71f3a54ea454
b5e706b7-0dcc-874e-8b16-547f131898d8,8d51408a-692c-64a6-9499-9bfbcd5d772e
422f964b-c5fc-005c-d5d2-3c6afce37d3e,bea0f806-4df7-45b6-03cf-883876957119
07b1fe25-3a84-01d9-5dfa-a0a28c24c6df,24dbce8d-a9cb-562f-84d2-daba9bdf364d
c39dfe08-7333-a727-17d8-3e04c44bb023,b9b1a641-b875-4078-d616-e441b97f2428
16d1d186-58ac-18be-8235-85761ec9f7db,ee591e6e-0651-94f9-3a54-63e03ffe4b1d
4cc391c5-df55-d8bf-7338-6621e52da231,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
04aa5b6a-1f15-0b89-248d-d6339f7e2f65,e12038b9-21be-1631-3459-13a82e4eb24f
d1614691-7d9f-f402-9afa-1458d774405a,1b38f944-3577-61af-c3d8-7087d50988a0
3e65dc2b-cdf2-abb9-bf69-5bb51e61f1cd,6d137935-f17a-5d3f-2596-bac8aec7e5f4
de14a560-90c3-adee-4236-17615c51603f,c714082b-2e19-dcac-3042-55dd0a6cd663
74157ffb-3706-cb2e-5168-57241bfbf409,4c703990-3582-afd8-955b-885ba9eeaf6c
cf4c81ec-5777-40f2-477a-e6700086285b,ad2f3492-ada6-c2dc-fdc0-f3ff318b40e5
014d6fa7-1df4-4208-bedc-3f17915d9945,eb8d6ba6-574e-a0ce-1274-d4eb9d6d49eb
77b3a387-db3c-a12f-2d47-3a6e72fec3c3,5f49278d-2b77-32f1-c1e4-a8bddecdb688
61a88070-8c6d-eac6-7445-8a82a3de5453,d65eb9cf-34d9-0c47-3c9a-68e422d4332c
e82c2f2d-6e12-01d0-64e5-8bbc7e72c029,0c27f8c5-d5aa-6faa-7f20-abed05a4d261
7ab0d061-977b-5bad-204b-468eb4c76e89,8faf9626-4844-fd71-6cd5-c7b1922aa5d0
c9359510-c87b-950f-5a09-505f4d54ef75,26088f68-80a7-8af2-aee5-28feeae49923
698392f7-f38c-a540-282d-813ecd373603,b43406f2-0173-27a0-be2d-8c9fdb43bf2d
00eed97d-fc09-c407-e0c9-08838419e0e1,75194fed-bf03-271a-9977-ec88d3b075cd
eee26d46-f946-7419-55f8-879173112b6b,4f5404a1-7bde-2e9e-b6b6-15b93bca45fc
50770bb0-d4e1-e7d2-1ea8-e3e59ae06eda,178f5beb-80ab-3374-7e37-132f9c72b9c6
39e0e3a5-90f1-8961-9634-a1160cbcf003,a03d4f67-103b-53bc-14d0-4679353e2d61
672201fb-2887-67e3-4796-7cd898d03fdf,e6cfd105-72be-0206-f47e-192008929903
961c6df6-cf1b-dad8-1c79-f884231ed73b,0e6abc00-354b-4efe-8bb9-f77a67160cc4
d16a039f-64b3-cb1d-0ef6-36177c3ed99b,af770e1b-1e33-7870-9ef1-d4bba3e7a0cd
9e8e955e-7258-6a56-91a9-c0e21c2d375a,adad43af-f5ed-8156-1b80-c0d5902c951f
5401a257-726f-90cc-bbfd-2f9587389cad,5441d2cb-8f10-8a54-ea36-cb2791ce352c
0c424946-9975-e620-6656-fb1c2eb891f1,a19499cc-559f-cfee-cde7-c02f37d3b1b0
9bf70520-1ada-e1c8-52c3-7aa2bea628d7,6a2a7092-63e3-646f-6a5c-55a82c0eb645
fc956aef-571b-b568-2e9b-352878dea4a7,d079ecc7-912e-1ba9-5023-43da9264ec0a
2fd8d9d4-0fa3-bdb6-c734-100e4bc37800,28726017-af91-f62f-8244-9f8f97ad1d67
b8bf8b47-30bf-38ad-4723-384b32579b95,9a488cc9-0e00-8003-f266-4a483df857bb
005d317e-87ce-2392-9cdc-61a367ad4b52,dcbf7941-c10f-212f-5e90-408ec024b3aa
405fb0e6-4713-504d-a31e-eb540e841680,613627dd-21ae-4250-40e1-ff635a942dca
4b1c3074-7749-2885-f544-0381781d826e,ca5f0b6c-0c62-e4e8-fbc7-fa3bd3c01d10
89723f58-9563-0a44-31be-2fab1343fb82,e56860ec-77b4-a94b-605b-cb5c0d3631d1
f0a49d87-53a1-37fe-1408-7ad28f44f2f2,f6c156dd-ab6e-9b3d-e677-453076a0eb79
f5ce0a95-9876-8cd7-4f02-eb007e853829,72f923ca-107d-f1ca-866d-2f989ae51907
67039c46-0453-00c2-9660-06deb5a166e0,24956c78-cd15-2aff-d348-9923c7a57415
8dc87666-7102-df76-9a19-d3c19bca9d2b,354e81e8-c282-fabe-d830-2639b3340699
1acc39db-4464-60b2-5635-73250af99d2c,6164487c-5592-dad8-03d7-b95179084b14
cbf287ae-ecf8-b157-6f1e-3104b43e918a,a9d00cc0-e806-f999-c6b6-1f1e8e7088b7
34c8d966-522e-b0eb-3e0c-8ca965a18b46,09d4e121-3f28-e4b1-77d4-16f18f52aef1
f75a6d43-6119-26a8-23d2-96c0f6236f6d,893ff0ac-ccd2-2026-bd2b-4d35dcafcba6
08d4804b-8aef-8191-b3e0-7efa6ec84ccc,cb78b2cd-2f4c-c8fd-7613-2e4457359c55
29684406-8841-72ab-c3ec-f06e77a1eef9,8cb7c0ca-a2ff-8b5f-76df-d05adb996b81
b7dec64b-d282-8ef2-cbab-43dbbd6b5960,2b28bece-261c-31c5-afca-e7d6cd576724
3b8affc0-bbb3-db3c-df82-241a84f6c943,42c9d47e-2e5b-5d8a-fca3-46e1652045ec
87b405ad-073d-ee7c-b072-258a731c4921,f2183824-c9e0-b36f-9f70-ebf4cc2d40b5
b21ff68e-e867-0f29-b317-b713770acdf2,9ff280c5-4701-ffed-cd55-e9aaa2961599
3ca86110-3d54-a40f-24c6-42b0b0292c1b,80586103-7265-00d5-bce6-be1ac259c58b
12ea1fde-13bc-6c65-a20f-0d353f579bff,43ff25c4-9f98-8eec-3c3c-9d53ea317111
99aafa8c-452b-a242-3921-a786faab8d5c,d7549e4f-79ee-a8e2-9fc7-1ac0fa61210e
0bf2f746-94cf-ae1d-7af6-36bfac168c59,27fee6b8-ad68-404f-1314-974232a81cd9
c11c53fa-7448-919d-1879-21f8c66a8a8f,c11d694a-d806-f350-7180-a576f7ea829f
15948971-b1a3-2b9b-4d9d-3fb2d0173917,d5c686be-671f-bc58-3711-bd096bfe55a3
39e991ac-5e9e-367e-b2c3-0f9355635da0,8d1061a5-ac7c-885d-f590-6af4a8543816
eec335f5-c5ec-d149-f009-cb077ae2a5b2,dccda14a-0e28-749c-8a7e-ba348fac8d24
082af0dd-6d3a-8753-0deb-2b5efc41c132,cdb93077-94cf-969b-c7da-6fde4ad2dcea
20ddb628-c108-2a94-006e-28456fe350da,bece8c14-6534-5279-33f3-f025a6c6a3f3
4c725318-b0d9-f9c2-c05e-8e418f92e097,fe482193-a76d-a940-142e-86015dd45626
a5bc2983-606d-6e15-b556-5c3ff29a6e28,0d5e3de9-8e06-23c6-6135-915f8aedac8a
df484401-0fa9-1fde-ad07-e361265e1b57,3b9f7234-5254-77c2-0dd7-3da2bb1f30e6
4a17e312-cb7f-d3e9-9b0e-df4c1b8b20d3,35ce2a0e-3fee-73ef-eb18-b78fb2874f2e
1071e384-82a2-af02-1d41-736a50e6f543,ba9d8309-6d43-daf4-f8d1-5d749fee1d29
bd939a35-65c4-22a5-9fd1-5fb593de58f7,3862bc2b-38a5-7f72-ef67-c837dd1735f0
0b3d583a-5b12-bec5-db7a-4b4780a75127,68f36745-e659-7a90-da57-3e784b977074
fc02cde5-0007-4e5d-22b5-f47b061bd00b,e6da9cd8-f6d7-f6c2-ff88-8a74a75a26d2
2fe52cab-3ba7-9f10-1cae-845783a98f68,e77c6d56-0c74-a11b-00b5-bacdce17798f
75bc7393-892d-48ca-4376-dfbdbd6d7044,8cb87b56-5399-ae47-a8a1-d01f09217d86
38e9e353-2466-b12d-1c78-e06ab4209d6a,515af668-b3f6-74c7-b40f-f66d4aaf90a9
7916beb0-8fc8-2d72-ef2f-282fccfcdd8b,a11d3079-14ec-e302-dafe-d12f52ca1aa4
c346bc6f-4c0b-726f-f4ec-6e45687891e0,2979c6b6-2c46-4dbe-10cc-dd81f9781339
b38ca813-2a81-b9b6-4353-f0c5dfc55d73,8f81ed22-bee9-ba0f-353f-eeb3440a1d2b
615e4c98-5b9d-d7f4-a08e-e0946b008717,342870a8-9c29-fba3-5d4f-abdee5c64f90
d197c9af-f0f4-7d86-dbe8-c20f71c8533d,1b93c82d-ae51-47b9-8872-2e405da6dd5d
56114f58-7707-1891-b336-1b4c81d2b60c,eb8139a9-11ea-7db9-0816-aaaabffed5d1
cf4acb30-3d53-6e06-0fb0-64e1e472c5e0,bcd3cc65-2127-5ec4-86a0-c38664465ec5
7cf778d4-3cb9-2685-780e-82dfdc5da373,065bde0d-1fe6-26be-0495-cbe9e001d4a5
39a2a4af-b86c-2ab0-e113-74eca7fb5ac7,a51b48c1-3177-c0af-1f49-8ca30575f22b
f6702b58-82dd-ae8a-3888-fe7a203d863e,b8f33bd5-938b-1b98-3a48-20fb2868d675
89236b8b-5bfa-8940-1853-8f94cf9e2c3c,cbc842e2-be8d-cb01-dafd-5c3bc5afd560
71df4e3f-ddf9-ba17-78a0-55f6d47852f5,7700e13b-ce64-01ba-79b5-2f161f1b82d2
12049635-77e8-a974-67f9-228d89824c8a,f043e799-54a1-c817-0fed-c13e949ea218
dd1131bd-b53b-7c49-af30-0fa997b0a353,9a01f27c-5440-5df2-c666-ffc1cd2eb2a3
ec836b28-03de-b1a3-5f58-89bf5810643e,5f13c7f7-c3aa-47d6-a0d3-b68959cebf63
47619968-360c-9c59-952c-3b87b9466dd6,d93533b3-f1ef-b1db-5886-e9c5e53a5a54
25525fab-2a0c-b7aa-2b4b-f3602f6b699c,82cc3161-fe2f-aef7-a0b4-0ced9bcece15
42a8807a-c164-0270-d548-e596490a34e8,29f4fb3a-1e60-7255-4bde-5d8317a3365c
7038d172-68d0-8d59-0ea5-79e109e754c9,b6495507-7a68-325d-8c3f-080c82a27924
963c2184-b66f-77eb-e524-0f33fdcf52cd,61e44796-05eb-67b2-d550-b9ea190c5627
ae829a0b-5374-cb5e-8e49-591150d9d3db,594590c8-e390-9bfb-923d-30a0d72abbe8
ef4e614a-6904-b3d7-da0e-f6182809577f,faecad3b-bad8-fb96-df78-4548f91e7d38
f55ac1c7-2d8d-0533-c1c0-038bffeb8186,774f588a-157f-526e-7302-8e4500b81ec7
2a021b06-21d6-7a9a-200b-35ddf462b745,2aefe4f9-fca7-39b0-bcb6-84d85773e126
1bca5f26-a95a-facf-e091-f224b5fdbfe8,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
a8018ce1-7f51-56b3-2780-9aa1a399b7b6,a567a011-5b41-c776-1e88-bf9ae0214576
850b4313-4fa0-e156-ec70-c33579bfd44b,7606019a-dbe5-36ce-96f0-0760693eb164
302af7a0-9d82-2c79-4ac7-1dd5757017f8,9dc9b0f7-d649-bdd2-8613-312fe22be37d
a3324016-a5ab-13b3-97fe-9943d6fd5e76,55718ef4-30e4-5174-a50a-7ce917df6ffe
57487b50-acce-f3ba-7c3f-d040d1be5d20,c13167a0-234c-d952-7622-d0f53f66e93d
92f01047-d579-6ebc-a2ba-043e99dcb31d,e3e3dfbc-b1db-7b8d-40da-e14b448f77b6
c184ebca-f617-bcf2-09f3-817c8f29e70c,48cfcafc-3cef-d867-420a-d096e0d67232
b5bd7f8d-ac13-f3a6-0053-53cc052eee7a,091dc2b0-18f7-d3af-a836-1c10683af17b
8d8aff71-5733-dc6e-5bd4-6685e8679c28,a4741b74-d408-c106-43d0-72585711a899
164dd6ae-1836-0216-0805-ef0402f3af51,d2791565-f12d-7164-5b3b-5cc9532fafe0
72147742-99ef-6c8c-7063-b224a7d92f71,9086a16a-4959-93b2-cea2-c8db8ffd2cdb
e21966dc-a6d6-cf92-0e79-e2aca422dbe6,5a69e70c-cf9b-7dcf-7ac3-20456a6f459f
762c9886-4d80-1d0a-a0a2-c7daa6ff1d34,9a075e84-29c9-7965-2c7c-f63a401b0d3a
95fa1614-3075-3e9c-dbad-f8fddc35bd58,4bd7ecb8-7d24-1236-74f1-a134ff140797
486fab27-5cd0-3af2-ea12-b32234a9226a,32873478-078f-9d69-b408-51b549005e7a
7927daa2-763f-8641-5145-4fe757e46f8c,bf75526a-add9-fccc-6082-d1d177108c98
c742a5d9-8aac-d302-bdb4-de8986288ceb,e8e99f75-3df5-8a7a-8ccd-868d6566e4e7
c5d0d181-38bc-6533-1d61-5b004c847f4e,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
d96b2b89-fa44-c096-a8a4-40f92d45791b,4498345c-188d-c18b-eb12-0d95ca77b75b
491fa106-8633-5330-62e4-e7e235e56987,922e270a-30bb-753a-c76e-983f97348cc0
f63ace3c-71e0-00ff-df1e-a7597ebda965,f776b44b-1368-5dec-a855-756278806efe
d1870ed5-9032-4723-6b27-aa20d7bc974e,9b3e60a2-48ff-3449-5a75-4fa882f7296c
2196e23c-f89b-f84d-4bca-867a9cea667b,939e78f4-76e2-1b6c-00b9-54116444f372
0a8a4b09-40c4-5e8e-efb2-907da26692f4,f154d09b-a0c7-e7f8-c894-c123728ff266
eb42eaf9-011f-699c-4941-806e4027541c,41834b03-182b-3d13-3e34-979e5e587b70
4215a297-8bf3-a06e-7bd0-9102c5383d57,9f6b2049-4163-ab3c-2d57-89a10514fbdb
cfa2de38-bb22-0067-3950-a9cd6887be7b,cdb93077-94cf-969b-c7da-6fde4ad2dcea
326e613a-e0e2-eb25-e237-7d1872f6e01c,8d99ad81-bf6e-85d4-36e0-db025cf302f5
050bc52c-b4ba-be2c-c785-d2fe7b7c694e,b6495507-7a68-325d-8c3f-080c82a27924
c4ab885d-27d7-2ac0-d1d2-00fb02df1f42,d6c8881d-f300-5ecf-9b7d-eb9c461bc9bb
211ed316-90df-9e66-00c7-a368ca7361bf,92339f24-1055-f630-12e8-52958cc3ace9
a2be3d8c-998d-b718-0a3d-dbaba479d9e3,23c557d0-5992-c0fb-ff73-6454260eebcd
f3e3c9b3-85f2-ed53-bd31-ce8188d674f5,4b4148c7-e5e7-1d9d-f467-8023bb49a7d0
491013f4-e281-ee99-71db-a927d1b87d23,049ceb1a-0419-6bab-6929-ac372b2eafba
1856c120-2ee7-185c-de95-e9b1557c7767,a7c282ce-5df9-b1ed-de50-23890933e93b
1a70ae9e-7a74-9a6f-074a-60ff92d3db36,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
36b6a12c-fb1c-0e20-d2d7-5e015f192114,3e53b40c-26de-1c0d-ce64-2daac26369b7
04ce38ee-a837-ea75-684a-e19705425061,182bd733-a43c-9450-14f9-8162246d0734
c5d668e7-006d-2f88-527a-16308d5c7b59,133e14c1-0658-df34-768f-bd2f95cd75eb
9b25f1b7-6c27-2e31-8c3c-9caf18ac158f,3190431a-ae7d-2fb8-f19b-f55c2bdd2ab6
fefe2451-aa90-d52a-58a0-9f8420351ddf,5eb10c8b-711e-6b12-3a7e-3cb7ff11ec91
caf3882b-6fa9-4e9c-07bb-5288af9fb317,9990ba59-d01b-501a-507f-d8a933173aa7
0022a5e9-76b0-c518-1116-cc5a9f7b3e2e,7b7da3ba-81d6-ef17-87c7-add53e3c3ba6
f249e1b4-709b-5039-39bf-8094d217bad0,f0d280ae-8857-0dce-9cea-9813afc95c8f
b07020c9-fc94-90f4-e033-a4502c06236d,54021d82-0d06-d8a2-a6a0-1924aa014982
