pkid,name,description,dialplanwizardgenid,clause,resettoggle,tkreset,tkpartitionusage
34f57d8d-17b3-4e1c-8cb8-bb675546fa14,FXS-SME-SIP-INBOUND_css,FXS-SME-SIP-INBOUND_css,,FXS-SME_SIP-INBOUND_par:7-FXF-CORP-URI_par,f,2,99
ec1746f2-303a-66fa-ce42-5322b669a44b,FXF-ORL-APP-css,ORL CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:FXF-ORL-APP-par:1-FXF-SITE-911_par:1-FXF-SITE-internal_par:2-FXF-SITE-LOCAL_par:1-FXF_SpeedDial_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
b855ba05-29d0-c2da-6957-a121050b3406,FSC-HYCA-APP-css,HYCA CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:1-FXF-SITE-911_par:FSC-HYCA-APP-par:1-FXF-SITE-internal_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
f9e7f0c3-ea8f-49dc-0803-53a40368ed01,FXF-ANB-APP-css,ANB CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:1-FXF-SITE-911_par:FXF-ANB-APP-par:1-FXF-SITE-internal_par:1-FXF_SpeedDial_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
3f64d228-1169-7809-f5bb-b4588aa9353b,FXF-ABY-APP-css,ABY CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:1-FXF-SITE-911_par:FXF-ABY-APP-par:1-FXF-SITE-internal_par:1-FXF_SpeedDial_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
28422e92-83ea-b392-652c-7f7bdd7feb81,FXF-WNJ-APP-css,WNJ CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:1-FXF-SITE-911_par:FXF-WNJ-APP-par:1-FXF-SITE-internal_par:1-FXF_SpeedDial_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
33a582c5-3f76-8f8e-7952-0c83f325bf50,FSC-ULJV-APP-css,ULJV CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:1-FXF-SITE-911_par:FSC-ULJV-APP-par:1-FXF-SITE-internal_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
8105fe11-af77-a14e-19ca-d67185c7dd15,FXF-DLH-APP-css,DLH CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:1-FXF-SITE-911_par:FXF-DLH-APP-par:1-FXF-SITE-internal_par:2-FXF-SITE-LOCAL_par:1-FXF_SpeedDial_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
9a371bfa-21d0-aaa1-0833-3f5026d41523,FXF-PHX-APP-css,PHX CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:1-FXF-SITE-911_par:FXF-PHX-APP-par:1-FXF-SITE-internal_par:1-FXF_SpeedDial_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
c7539029-784e-083a-632e-236b75af5948,FXF-SBG-APP-css,FXF Site Application Routing,,FXF-SBG-APP-par:1-FXF-SITE-911_par:1-FXF-SITE-internal_par:1-FXF_SpeedDial_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
a9fc3e08-835c-60c2-ebe9-306d517e72a0,FXF-PRS-APP-css,PRS CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:1-FXF-SITE-911_par:FXF-PRS-APP-par:1-FXF-SITE-internal_par:1-FXF_SpeedDial_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
6e92532b-aaaf-0be0-3948-30e56cd51c40,FXF-LAL-Mail-css,Lakeland Elevator Ring Down CSS,,FXF-LAL-MAIL-par:1-FXF-SITE-internal_par,f,2,99
ad635c15-53be-f6c9-5b61-2d2bfcccd3e9,FXF-CGX-APP-css,CGX CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:FXF-CGX-APP-par:1-FXF-SITE-911_par:1-FXF-SITE-internal_par:1-FXF_SpeedDial_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
e5f33220-5262-bf19-2c20-2379b3f56ab5,FXF-BRY-APP-css,BRY CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:1-FXF-SITE-911_par:FXF-BRY-APP-par:1-FXF-SITE-internal_par:1-FXF_SpeedDial_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
c74a8585-752b-3afb-9e75-7b61f31db949,FXF-DAY-APP-css,DAY CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:FXF-DAY-APP-par:1-FXF-SITE-911_par:1-FXF-SITE-internal_par:1-FXF_SpeedDial_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
8eb780af-fe2a-44ca-1502-c27dc73c7256,FXF-FAY-APP-css,FAY CSS to be Applied to the Lines,,BLOCKED-GENERAL-par:1-FXF-SITE-911_par:FXF-FAY-APP-par:1-FXF-SITE-internal_par:1-FXF_SpeedDial_par:2-FXF-SITE-LOCAL_par:3-FXF-SITE-LD-SME_par:4-FXF-SITE-International_par:6-VMPilot_par,f,2,99
