pkid,fkdevicepool,fkcallmanagergroup
e49f7c64-a92f-4d53-88be-3904a70ed47f,1b1b9eb6-7803-11d3-bdf0-00108302ead1,d13c4201-7802-11d3-bdf0-00108302ead1
22ce9293-6ebe-4d46-9dad-00cb6e8bc08b,3281e056-b719-7e33-a033-103de68f547c,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
1640411c-8f6d-48a9-b500-a8fd754908f0,7881780e-077d-f56d-2218-89fd2a19e953,70c197ba-8951-14ad-a270-b32053663da9
8498077e-bc2d-4d8e-b438-c70765b417ef,c35d3f5b-cee3-736b-9519-566c5fbc6ac7,7c1dc1c9-d59c-6826-b507-6bb38dfb5ee4
33f0f6a1-7ff8-4a6c-9faf-e34be716bcc7,67586413-e82f-8dd4-f51d-3e0547f6224a,89f190f4-0d7e-fafe-5bab-dd5dfd647cb2
5cadb65e-6d89-4c1c-8976-a9abd2343ab0,79e8f5c7-78c7-35d3-8a82-a3a5f130351c,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
cf08e27a-e62a-428d-bff6-f9d374a318c1,0a54219f-b24d-100f-a0c6-39087e475460,70c197ba-8951-14ad-a270-b32053663da9
15c679c4-9e05-47a8-ba76-4c81c88d4650,41401a7d-faae-571a-2876-ac092617c9e3,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
fe186c0d-cab8-4f1b-9ca5-12c9f53dbde8,c41b2a58-e52e-81d9-515b-ad5568e24218,70c197ba-8951-14ad-a270-b32053663da9
d5b21ba5-8689-4977-8874-52163e5809ea,fd4c1612-bab4-9224-cab0-2209222972c5,e64d226d-1d88-a330-ae45-a66bd201b031
cfabc820-0f00-4629-ab62-47a5c29e6521,eced1da0-10d9-206a-566c-0c9a7197f849,8578e802-08ab-1d2b-e599-c3b247d9165c
d2123073-9e7d-4f41-846a-9d47ea432af9,c33beb0d-5923-97a5-785e-689b23037069,816af09f-efed-c920-43c3-042bc9696f0d
a1400ae8-0825-40ec-81c7-8f641da656b6,9f7ec98a-4a0b-48c4-b18b-c78f7309660d,c68f5fed-d4be-afb9-559d-66dd16c6e466
8d5d6502-94b4-4899-975b-7a7aeb593289,48ba8a21-fe7e-07d4-aba3-498b8a0c466f,89f190f4-0d7e-fafe-5bab-dd5dfd647cb2
71fa5c0d-39dc-423c-abe7-9385cfd740b7,461876a9-9b0a-e9ce-9e6e-e573a062a88e,7c1dc1c9-d59c-6826-b507-6bb38dfb5ee4
bffcd885-03ac-40b0-a305-a5f70cecbbb4,3226196f-c1e2-436a-b94d-cdb24ffc156d,70c197ba-8951-14ad-a270-b32053663da9
721ffc30-4aa4-4be9-868b-7d8c10fe2015,02e42c5b-c2c1-2929-937a-1ca6a3909c46,70c197ba-8951-14ad-a270-b32053663da9
5514162b-ecac-4837-aecc-08e04ce35455,035692d5-2a1e-4322-aba4-ec2c5cb788e0,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
1a5bbcba-d4e3-442b-959c-4bda82bf655f,0411fb11-c17c-401b-873e-31bd7f42dc0f,8578e802-08ab-1d2b-e599-c3b247d9165c
ef53e9f0-9e26-4820-9e66-2212bd19b268,025cbe9a-5f17-408b-bc2e-34228fe93827,70c197ba-8951-14ad-a270-b32053663da9
72b4118b-7ea3-43de-bd50-fa46d7af14ab,02f7c080-5a66-4249-b0e7-5fd597fd71de,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
53a83dc3-eb57-4686-8fdc-8d6d7d859f9c,023ec499-24d4-49c0-9132-c89aeea5dc62,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
9996d09e-de36-453f-81d4-071e83f8965f,00d8f205-495c-4ca0-bbb5-d98a67f635b7,e64d226d-1d88-a330-ae45-a66bd201b031
963969bb-3342-41a0-acef-d2405a477259,546db9ae-e77b-ce8a-af11-ed420325b9e9,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
d0393e0d-3013-435a-a905-754bc2e115aa,07cf5e53-847a-43c9-ad0d-5258cd3b1ca7,70c197ba-8951-14ad-a270-b32053663da9
568c39e0-940b-4972-8336-c02026da9122,069e83f6-974d-4174-96db-855c2d90f92c,70c197ba-8951-14ad-a270-b32053663da9
3bcec8ed-2417-4ba1-91ec-79f6ab1adfea,05f89a4a-cd8f-4f7e-9455-d70d045f3b32,e64d226d-1d88-a330-ae45-a66bd201b031
99d1284f-a3e7-40f2-8762-a8877acce909,07d21938-49e6-83b6-f30b-9b2e065062d3,e64d226d-1d88-a330-ae45-a66bd201b031
7f5de80b-ae58-4d24-b30b-1730ef025704,065c95b8-bedb-49ef-bf7b-814e1737e2c2,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
82c5c78f-72be-4810-8477-3d7ee2ff0ef3,07a7ac8f-5752-6bbc-49ae-69e1e7e9a975,70c197ba-8951-14ad-a270-b32053663da9
d906c198-a48b-4c21-8724-e889f26da4df,58b791ec-9730-4979-b6b6-f140cdc7c3ec,e64d226d-1d88-a330-ae45-a66bd201b031
ac71a1cc-de81-42f1-b72d-27ccae27578c,7a8d15f3-fa9b-9f75-abae-7f5a332e3b2c,e64d226d-1d88-a330-ae45-a66bd201b031
f8ecd63c-f4c8-463d-ad03-dac8f443ffaa,09d80f21-f5c5-4932-83ab-3c3aaa7e649f,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
2120068d-9691-422c-ae08-f0b0defce48e,0c2c7b90-1120-449b-aca0-9590a0ef16cc,70c197ba-8951-14ad-a270-b32053663da9
86147554-d80e-43ec-b1c4-9bb86391f787,08a37bc3-258d-453c-8e9b-44442b76b191,70c197ba-8951-14ad-a270-b32053663da9
3bbd9d63-bb77-401f-ab21-907f501fd1a9,0ab380a8-1d0e-4906-a105-dc7db7aa194b,8578e802-08ab-1d2b-e599-c3b247d9165c
da414cf3-a915-48cf-bfbc-af955d34f01e,0baf3094-6b64-447a-b502-15538eb50ee8,70c197ba-8951-14ad-a270-b32053663da9
0f8d234d-a96e-44e5-a53f-6b368d7cc101,0f8890f9-315b-40cd-b23c-bcd1ae22a47c,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
44137b25-8ac4-4798-9895-f79afef783ca,125aff72-3e64-4e28-88fa-d2be7310d1fa,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
0c7e2f77-0b87-466b-a1b2-7a5fb1c2fdc9,1283d478-cb0b-4545-8c65-6e9ac9c628ae,8578e802-08ab-1d2b-e599-c3b247d9165c
12582c7d-4a8c-4397-8a6e-7d20e29fbf1b,1074e9e9-366c-b87b-61cf-c34c0fb2e55d,70c197ba-8951-14ad-a270-b32053663da9
44e50ad3-63f6-46d1-96d3-de24204b7b9a,116d161e-4950-48d0-8bdb-f371ca15bdf8,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
394c44e8-a0ce-4b29-8f9a-4d01cee49434,0f772e66-d8c4-46e1-a902-78a7e6bc932a,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
c5dbb2a9-c761-4caa-9b87-b1463d48a18e,0df1a149-3775-fc19-3bd3-331b3aa74e67,e64d226d-1d88-a330-ae45-a66bd201b031
ad510867-6bec-4aec-9b12-e8e481e27e4f,0e391336-92cb-5f07-e5b4-d93a68e9f098,e64d226d-1d88-a330-ae45-a66bd201b031
fce92602-3359-4d5a-8de9-bfe9fa231fda,13e1a4ba-2545-4d98-a928-94c6287da61e,8578e802-08ab-1d2b-e599-c3b247d9165c
cd0b5b40-a877-4678-b1b3-a71933b7e08b,1449ccb3-3e94-4402-a39a-960bc5fcd7da,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
ec3cc674-519e-4435-afd7-0b53bbba0638,11437f44-11d8-4441-ba7e-b7197144f8eb,70c197ba-8951-14ad-a270-b32053663da9
ccbdb8f2-b172-4ce6-8a85-405c49143454,0f189dbb-2346-4c16-a61b-f3171ba85a95,70c197ba-8951-14ad-a270-b32053663da9
e4a5dddf-ec83-42a9-bc6a-a1a002dc2e96,119ffd86-300f-48a1-8312-8e915c2ab375,70c197ba-8951-14ad-a270-b32053663da9
93ffc03c-2ce5-46b9-860e-f3b00be2bb5f,12213aad-a5d9-4849-afd3-d75f8c6d7ce1,70c197ba-8951-14ad-a270-b32053663da9
4450fecd-9664-475f-ab52-f948f124e88a,1254ac39-306b-4c1d-a47a-63b179363ef6,8578e802-08ab-1d2b-e599-c3b247d9165c
09ecbac7-5288-48ae-96c9-72044cd44fb6,138fdb59-e628-6a5b-9a2f-ccd6736d6346,70c197ba-8951-14ad-a270-b32053663da9
325abf37-9d2b-421b-ba1a-f5c8d75a8c55,14d11fe1-d0f4-df0a-14b4-9eabaf4c082f,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
371f5450-2ee9-40c6-b421-b9cbb76309e9,1658e42e-cfd9-9fee-d25c-ecc18c05734f,70c197ba-8951-14ad-a270-b32053663da9
0bfc8e2a-a158-4231-88d3-431d0d47df92,161d9726-55ff-e4fb-8e0c-01ac62dc0656,e64d226d-1d88-a330-ae45-a66bd201b031
