pkid,fkdevice,fkcallingsearchspace
0a7e78a8-832b-49f3-b9a9-a9df970a2aac,13fb6acd-1353-45ee-8dfb-e9fecfc47c67,8dccd1c0-ccce-c88b-e179-997307437fa2
b64cf384-6ceb-4b25-96c6-58327a108d44,9dced684-e3cc-6bb8-f4d4-ad81f54e74b5,1e1e1b74-a624-d8cc-34b5-80361508462d
7c862b3e-e59a-4486-b0a5-414205dfe228,c6d51616-0de4-c3df-ee8b-e1bc3d058295,1e1e1b74-a624-d8cc-34b5-80361508462d
c4487140-b3c2-4359-b75b-fcd2c39e4ca2,0f62d3d8-7890-79c2-5a2a-e1cf15e5e71c,34f57d8d-17b3-4e1c-8cb8-bb675546fa14
9b2a4be5-099c-4fd6-9d65-eba0895e35ad,8927a9da-b27e-7033-9bd0-7b055a396a4e,34f57d8d-17b3-4e1c-8cb8-bb675546fa14
c2836228-f475-464a-be6c-2d2aaf2e7c42,4c2f5423-0e88-ba40-ac44-17a5eb106c96,34f57d8d-17b3-4e1c-8cb8-bb675546fa14
44ed7d5d-2d07-40a9-815a-6c870ce3b5dd,6449ffd2-6fdf-1c4b-db8f-dbf1ce1065a6,66d28027-021f-cb40-e997-41f45850111b
a23a011f-3133-4b61-b712-cbf8fec9e4d0,6453ad84-190b-9dae-b1bc-846049df3677,cf6f04fb-45b8-f689-c5db-b71a5d4794e1
e12eaa4c-cd1d-41f2-8eee-71d62e917f07,647089ce-4120-24ad-8c0c-0a74e15d244e,ff8488ca-16c8-1869-c473-006014b145da
56bd4bf4-1138-4db0-beeb-50425a30ff29,6474fbca-907f-160b-8535-7f4b7f1e04fe,d02fad6c-d71e-b2c3-869a-63c231da4bab
8738ab13-51ab-4389-9e36-b72030768eed,647192c4-5c68-65df-41d2-ebccec3b792d,c375a960-10d9-c90f-1507-325fe6ebf5ae
4e7b28ae-2137-426f-8843-ba6226a386b7,ca52b623-e048-0d53-7a2b-3af88b5f1d79,ac7af56c-65ba-8287-2262-fbeb6eab7227
99a9395f-4f0e-4ad4-a04c-abff0d587366,e73d329a-d9de-98b8-e19b-717e50adc544,02755561-3bd7-3fc7-f8ad-b31cbd2956b8
289effbe-88d5-4af1-8862-edb8d9dc139b,7db5eaf2-65b0-9bb8-2e7d-17faef9a5f16,2a2bde4c-e152-fb65-09d8-9df01a6d6b96
5f4cb8f6-1e41-42da-9f92-aed26692d9fa,044ed097-ad62-2034-f3a6-2c0081c93be5,f9401893-a469-0d22-f09e-034b69d209ce
94c595a8-c0f9-4d5b-b51f-48befe031f50,650274dc-1a22-50d5-3296-f33eb52f4ba9,88fad650-ee6f-2005-f412-bcbc630e74ce
38111210-8932-4241-94bf-fda62d816ec7,e1a787e7-0129-fb29-2f66-bf8e3eb0e74c,02755561-3bd7-3fc7-f8ad-b31cbd2956b8
9437241f-be64-4713-86c3-044f4a5ffb5e,f007e796-5ac4-22ff-568b-e96e6fd24541,02755561-3bd7-3fc7-f8ad-b31cbd2956b8
74c07c39-6867-4d7b-92a1-36ab71a44407,c9d766a0-be20-4dcf-e0c4-915f7797fe5e,745d18ff-8d92-bebb-0bec-a1c23f0f1ddb
fb91f9bc-e529-4bc9-a7b8-ccfd47f64c25,ca0ca152-3f47-4b29-7ebc-6265b1a3d4b3,cf6f04fb-45b8-f689-c5db-b71a5d4794e1
a163581d-7d77-4196-b9e2-01e48d616261,ca0d0d52-a39d-e41b-7570-ddf259195f05,d64f6e79-2dcb-8316-3419-3ebd0a35db77
1a452157-ee69-4b87-8089-11e37dff93e2,ab17f79b-5c4d-ead3-5ab0-1bb06cec676b,e841c1ef-f433-e59c-5464-e6f87c6bfbf1
7acd08e2-3aca-482e-abcf-0d7c2e1a37a6,ca232faa-381f-0c49-b7ce-000cca89f33e,cd73cf62-3cdc-e875-dc47-a723de4f48ce
ab27da23-e848-45df-80a4-d07c1eea16f1,cf36f149-4155-ddb8-04b9-45390e8f1862,d070e35e-fdd0-fdbf-4e9e-3652396d90cd
fe1b2317-7591-4bbf-aaeb-5a694be00e47,ca601d67-2dbd-72a0-554f-9a222fe45154,94756ee0-3807-5588-8d82-59764f0a80da
f885a14e-a1a3-436c-908c-e2465012bad2,fb12d1e1-7ae2-e466-f16a-ce4dfbd9a4f0,88f50a3e-a200-4410-c3b6-88da39e605ef
46d52b25-ed02-49f8-ab84-ad727c236716,82a593fe-9ca9-01ab-6ad1-feded678a262,30c467f1-6499-e5b5-9274-bd076dc3c5a3
1bff2643-dd1a-4599-a608-62e7c9a2d100,a1db6e87-9278-7145-925c-fd490a79a2da,d070e35e-fdd0-fdbf-4e9e-3652396d90cd
f54a840c-3f35-451f-8bc8-d84660e5d98d,f482ed5a-c2c7-b840-5cb3-56a9df026910,3011ec0b-89ad-e404-0997-a2a7612378c9
3f785a70-c2b9-4ed0-b74d-44f9da1c729f,cae22efd-ee2e-59a7-75de-7baa647fb612,56afbe0f-96dc-4bd9-8baf-d589c40527ff
b6ccb478-6500-40ff-8274-f9a091beb685,caf4a3d7-472a-eece-d5b5-6c160fb3aa54,88fad650-ee6f-2005-f412-bcbc630e74ce
e1a938b0-eea9-45e7-8e27-30b36d1684ff,cae3d27f-2116-adc8-0061-2db60a03ed5a,1087abc6-0d95-af19-e5e1-2fb708e8d862
52f66d3a-4c2f-4870-8db9-0428c14b0d99,cb0fd554-a37e-7eef-9d7d-1074f118436b,f300ec90-f57e-24bd-3684-efc81550357f
2d7840bf-00e1-4bcf-b620-35a2c21cee4f,cb3ee1b8-498a-0052-cb69-6c0969edf566,e841c1ef-f433-e59c-5464-e6f87c6bfbf1
a1e728f5-c8da-4662-a29c-fd7faa7526a4,cb2b3c3d-3919-f274-6bb8-4b8f8e62f64d,264f4111-ac45-2696-208f-3e2c3e1c4104
f57b4bc2-2a1f-484f-999b-45f433612c70,cb3867c0-060f-7d32-c867-1ca11cbb94e5,f1379309-cf44-9201-106a-43d6f767d31f
30aa48f5-d12b-4261-8496-505e6dd5fa32,cb60dafe-507e-e123-6110-164d7f45b724,56afbe0f-96dc-4bd9-8baf-d589c40527ff
f434e4b8-f291-4c0c-b4cd-2a83d5006492,cb61e137-48bb-11c0-1aea-04cc3e1879b7,a0b3ad3b-f210-8e5c-a595-c36ea0b655f5
56b3a00f-cbed-48e6-8077-b1202b4feada,cb62edbe-a668-350a-ca25-da076891acd4,55ab1590-fa01-39f0-eab1-4fcd1562301e
3250685c-cb7a-4d0c-bb86-91bb1b08b448,cba9638d-0fc1-d399-a80d-30f2c8a95089,264f4111-ac45-2696-208f-3e2c3e1c4104
6a09f08d-763f-45e2-ac9f-836cedfaa259,cbb8fb07-68dd-d972-6b44-4f041b6f1143,87dbf7e2-ded2-998d-86bc-ab6beea36f04
3cebe413-a75f-4420-b3cb-37b7e1690230,cbba6f19-f01a-78ba-308c-c610d0b5c968,89bf3c71-2a12-f9a9-6cd0-cb3a6f2a6cc1
0b98fff8-8fc4-4a51-b9b3-57452cb72363,cbb7b211-cf29-b5a5-0320-020bf3d24250,ae405eb5-ccd2-ea6a-ef96-de93a00faa2c
bb7ba0d1-6660-43f1-907c-dc0e22c1c135,cbfa23b2-2842-2305-92e2-4067747a4fd4,ec4d07f3-bc49-c95a-bc35-01e7b0496c8d
543ad6be-e51f-48b9-9577-97ae823b2074,cc15fdb3-c81c-8f61-0a58-ae0a9e830d4e,f300ec90-f57e-24bd-3684-efc81550357f
26267230-dbe0-4236-9bd1-7fa9fb83b258,cc22f377-7724-33f3-3a74-547ea918a81b,55ab1590-fa01-39f0-eab1-4fcd1562301e
2fed76fc-5509-4770-a6e6-5e62dcecec15,003e2c4b-c942-4cd5-70cf-a849758990f3,d070e35e-fdd0-fdbf-4e9e-3652396d90cd
ab725f79-e8e0-475a-a9e9-76053529979a,7d4399a9-2890-2873-6bb2-413146bc4f8d,8418abd4-292b-a617-4261-2ccf24d9864a
9cb8bd45-7e19-41ba-bb7e-28e7cdb3f923,cc92727b-cd55-7c02-e00e-395b47f827af,55b31221-5a4f-cfd1-9c2a-329fdbe6dc01
b773ac27-162d-4a5b-9b92-276c1f50c682,ccdd8ffe-404c-c9eb-10b6-afd2e5226b44,eb74eb85-f1cf-cdcf-e52c-dbd06550b9eb
cd91a496-5b1b-468f-8073-186df5b21365,023e5098-2413-ef58-64ac-029b67ac49c5,02755561-3bd7-3fc7-f8ad-b31cbd2956b8
7a4f72f0-f440-4ab8-ac7d-da6bd0a5a377,cd1784db-aab3-4c2a-5ae4-519a673a948d,55ab1590-fa01-39f0-eab1-4fcd1562301e
6b7bee86-820b-4dbb-a5e8-8627cfc01fc3,cd1856c5-cdae-a899-1215-d32c4eaf6c34,a3882c5c-8fe8-9ec7-0991-77e37691dabb
18afbf2b-1ea3-468a-9b18-554e71df155d,2895dabc-94e7-8b2e-75d4-1b6c4a1ed640,600006c2-5c19-24e1-5aaf-aa24fa3fc52a
a7bd1330-ba51-4ae3-809d-7b91b54001c3,c5612667-be64-0e1c-2a30-a0f9f2dbce8a,d070e35e-fdd0-fdbf-4e9e-3652396d90cd
088846f1-5b4b-4608-9db7-7f07b0efe667,79943a24-8a1b-f0d4-4db7-55e70ad80b76,d070e35e-fdd0-fdbf-4e9e-3652396d90cd
