pkid,fkdevice,fkdevicepool
b3c5c3e6-47d4-45a7-88f1-0236252169b3,df91ff61-ab5d-45f4-9ad5-33bcba56e7c1,76981139-93f8-7bef-cb8e-0bf0b3983f9c
525605a8-3112-4b4a-bde0-83f198d7e402,13fb6acd-1353-45ee-8dfb-e9fecfc47c67,76981139-93f8-7bef-cb8e-0bf0b3983f9c
463fe4c3-71eb-4cbc-9cf4-320f330be475,86ea6eca-0798-4914-8d9a-d3f1482c56ce,1b1b9eb6-7803-11d3-bdf0-00108302ead1
ef149ef2-66ce-449e-b1b3-86176007ece5,95989213-1fc5-42af-bdb8-1468613c66f4,1b1b9eb6-7803-11d3-bdf0-00108302ead1
7d7e9974-a822-4f00-a549-0cdb371b76f5,d2fbfa97-4454-410f-a86f-638f1340dd9c,1b1b9eb6-7803-11d3-bdf0-00108302ead1
8b8609b5-087e-433d-adab-1725b95b49bb,59a8efba-a726-443a-b907-da9c69d96466,1b1b9eb6-7803-11d3-bdf0-00108302ead1
462d0124-c342-4618-8e90-2cdcec65cd03,8f92ac7e-2940-47ba-ac74-e3f4ef5e534d,1b1b9eb6-7803-11d3-bdf0-00108302ead1
1fd3fb35-186e-42e4-ab53-d27f6d33e462,37d2ee9a-838b-47b7-b34e-18b7d95c0691,1b1b9eb6-7803-11d3-bdf0-00108302ead1
ded179a0-02e6-4c1d-88e2-beffa0c28696,a9c1dc56-726d-4f33-8935-21b7affd72c7,1b1b9eb6-7803-11d3-bdf0-00108302ead1
c6a233c0-00d5-4b8a-9adf-c686dbb64cbc,13eeff1e-687c-48d3-9242-5576953d94f0,1b1b9eb6-7803-11d3-bdf0-00108302ead1
c52a224a-46c1-4fb4-924b-5e55de2082f3,a9d11918-097f-4c47-a5bc-6ff07b06e73f,1b1b9eb6-7803-11d3-bdf0-00108302ead1
a938c8e9-bf96-4a3d-970a-cff357220d18,8c48c302-4b7d-4980-84e7-5008f7b63276,1b1b9eb6-7803-11d3-bdf0-00108302ead1
2caf37d4-7482-486e-9a06-c43104a69dc4,5869fbe8-bb60-40c7-b798-9fc06b7ef9b5,1b1b9eb6-7803-11d3-bdf0-00108302ead1
f267369a-9a43-4ffa-ba86-3833a3b5a5b7,c11861cf-35f1-4385-bb2d-2499cedb6272,1b1b9eb6-7803-11d3-bdf0-00108302ead1
23d08c86-a7ba-41fb-a784-a16bd3d2d9ba,ea1b50f4-e100-4f95-ae27-54a760fda763,1b1b9eb6-7803-11d3-bdf0-00108302ead1
388404c3-aab1-43bc-b011-3fddf87fb35b,7b9f7c6a-5b94-48ee-8168-7b7bfd930710,1b1b9eb6-7803-11d3-bdf0-00108302ead1
f3bd5c82-02b5-4aef-8a14-9bb997dd56ee,64fe9458-3a3d-4429-8648-1eb88e98b024,1b1b9eb6-7803-11d3-bdf0-00108302ead1
e7c8a174-6e02-4d6b-9962-5407881ac690,22036851-ee5f-44c4-b708-b698006121db,1b1b9eb6-7803-11d3-bdf0-00108302ead1
7f7a8e2d-7504-47ec-8598-e6eb680025a1,1fe31ba4-d5b2-4e21-a3ff-0cd049201053,1b1b9eb6-7803-11d3-bdf0-00108302ead1
ea888878-36ce-44a5-bd4e-d93ef7a9f005,8e071343-2430-40ad-8adf-53a933bcdba4,1b1b9eb6-7803-11d3-bdf0-00108302ead1
6f10b51f-963c-4a02-a514-423a8e0b3434,f2362c42-51b9-4a0e-9117-ac63ee7e8e52,1b1b9eb6-7803-11d3-bdf0-00108302ead1
ab7c0e88-9c78-4577-bd59-ca29d3d16bea,d147a5c6-677f-434f-8ace-2b836f6dead5,1b1b9eb6-7803-11d3-bdf0-00108302ead1
46dbcfa7-3f7f-4353-b763-ce13fb2697ae,31db75d4-2679-4fee-8ff7-e7275bcd7304,1b1b9eb6-7803-11d3-bdf0-00108302ead1
1a8fbb65-9ad7-4a3b-a8ec-d1995a3931b4,da25e399-5625-4b8c-bfdf-ee722990a8d4,1b1b9eb6-7803-11d3-bdf0-00108302ead1
59c4b302-0db0-49e0-aeac-3a8dfec037e6,79be3c38-af17-4824-a74b-c136a69ca21d,1b1b9eb6-7803-11d3-bdf0-00108302ead1
832eb17e-9696-47e3-8a67-feaa13a683fc,09394249-67fb-433d-957e-88467968092e,1b1b9eb6-7803-11d3-bdf0-00108302ead1
2f15298c-2c78-4c7c-a27c-1d8996f719c9,0d05287e-35b4-421d-945d-0ea00ca515d4,1b1b9eb6-7803-11d3-bdf0-00108302ead1
54596b15-2a84-4db1-8d15-44c6ab3ef8f5,24cbaa85-e67c-44f7-92a3-4d786cc6932c,1b1b9eb6-7803-11d3-bdf0-00108302ead1
