pkid,fkcfb,fkdevicepool
f053dfb1-8d0c-42ac-b1df-0b849044c9fc,95989213-1fc5-42af-bdb8-1468613c66f4,1b1b9eb6-7803-11d3-bdf0-00108302ead1
96f4ea2b-4e41-4599-bef2-37c0714b6f1b,a9c1dc56-726d-4f33-8935-21b7affd72c7,1b1b9eb6-7803-11d3-bdf0-00108302ead1
8c627faf-0cd1-412c-aeb5-ecfd1edbf421,c11861cf-35f1-4385-bb2d-2499cedb6272,1b1b9eb6-7803-11d3-bdf0-00108302ead1
dcf33a41-4d5e-42b6-9242-2890c9d1cc43,1fe31ba4-d5b2-4e21-a3ff-0cd049201053,1b1b9eb6-7803-11d3-bdf0-00108302ead1
4faa841e-ccb0-4559-8b5f-8e910bb69ee4,da25e399-5625-4b8c-bfdf-ee722990a8d4,1b1b9eb6-7803-11d3-bdf0-00108302ead1
19107d05-9720-4960-ad91-4e81eaffae46,4cbc0d5a-147a-4002-aa23-4c3b646211a5,1b1b9eb6-7803-11d3-bdf0-00108302ead1
0dfb5afe-fa76-4b90-82f3-d0f73b048590,a108e19c-09ee-4eba-ae15-c3ffa089e6c5,1b1b9eb6-7803-11d3-bdf0-00108302ead1
f34343c0-c9a0-4376-ada0-f6528385b0a2,b93dc569-3891-4830-9750-77f05c5f6e91,1b1b9eb6-7803-11d3-bdf0-00108302ead1
2b43b576-4a2f-4262-a327-07c759a4769e,e11f2a54-f513-45b1-9969-657609ce2e6a,1b1b9eb6-7803-11d3-bdf0-00108302ead1
12a10d5f-1a2c-4570-96ea-e706742f8618,2cdc214f-fa97-49fb-8a4b-5c1442c732e5,67586413-e82f-8dd4-f51d-3e0547f6224a
b26f45be-20a5-4638-9261-deae58210070,724762e1-f9ad-4033-874d-e10b149701c7,c35d3f5b-cee3-736b-9519-566c5fbc6ac7
01f8cfe7-be9a-42c0-8a36-0a8012dc8b5d,52854269-dee5-8374-277d-d2153f669e0a,c35d3f5b-cee3-736b-9519-566c5fbc6ac7
83290897-c173-4a49-98c1-803d162dd366,7daaea5b-ef58-c2b8-db4d-674bc3d78eb9,c35d3f5b-cee3-736b-9519-566c5fbc6ac7
34bafaea-2c2e-4c60-9365-f9e4c10af5f3,23bd3afd-3bd6-0339-6d9f-27ec5897acdf,67586413-e82f-8dd4-f51d-3e0547f6224a
a38f9fe4-818b-4d30-bb58-dac5b9233c13,af0f4d2d-6f59-9d19-4667-14d8d7f26715,67586413-e82f-8dd4-f51d-3e0547f6224a
