pkid,fkmtp,fkdevicepool
39c628f9-9393-414a-9a71-ab5a6d86070f,86ea6eca-0798-4914-8d9a-d3f1482c56ce,1b1b9eb6-7803-11d3-bdf0-00108302ead1
d3994deb-442e-427b-b123-7737d1e01f80,37d2ee9a-838b-47b7-b34e-18b7d95c0691,1b1b9eb6-7803-11d3-bdf0-00108302ead1
366cac4b-e236-4c10-9524-9e98414a40e0,5869fbe8-bb60-40c7-b798-9fc06b7ef9b5,1b1b9eb6-7803-11d3-bdf0-00108302ead1
4f039ecf-bec8-4d4b-9cc3-bdbc51c17caa,22036851-ee5f-44c4-b708-b698006121db,1b1b9eb6-7803-11d3-bdf0-00108302ead1
abb140c1-7156-4060-8c80-71dd7739714b,31db75d4-2679-4fee-8ff7-e7275bcd7304,1b1b9eb6-7803-11d3-bdf0-00108302ead1
62b74e09-be02-4386-b06f-1f89c5e5aba2,24cbaa85-e67c-44f7-92a3-4d786cc6932c,1b1b9eb6-7803-11d3-bdf0-00108302ead1
678248f0-b8b8-4a7e-af3a-d917c8209fa8,c200eb27-178a-42f3-965c-61b162496866,1b1b9eb6-7803-11d3-bdf0-00108302ead1
de1b769b-0185-4622-a642-b6e23add4ba9,8fa4c48e-d6cb-47ca-b2f5-6527b4171732,1b1b9eb6-7803-11d3-bdf0-00108302ead1
f2552aba-f4ec-4173-9a4c-efc707bb0cd0,fec3bd76-2231-40dd-9332-bc7160cedca7,1b1b9eb6-7803-11d3-bdf0-00108302ead1
46e70a07-c1b8-4d13-8f0b-532f23f47b60,dd230397-ecbf-48a8-a90f-80fc4d71e580,67586413-e82f-8dd4-f51d-3e0547f6224a
e83f6a7c-5f5e-4654-8d15-4f540e576194,dcefdc5d-5cba-4924-823e-453ca84f2423,c35d3f5b-cee3-736b-9519-566c5fbc6ac7
ff55cfde-8a3a-4410-bdda-df710aae5116,4fa736e9-682e-46f8-67d2-e28bf9623932,c35d3f5b-cee3-736b-9519-566c5fbc6ac7
402c23a6-5212-43f8-800a-677e39cfb514,ca7ff29e-a103-61f6-229c-f8a9f07fb84d,c35d3f5b-cee3-736b-9519-566c5fbc6ac7
e1cb853c-d940-402f-87e9-f00ffa106a29,62be0909-6e6e-a2cf-fc3d-6acd41092909,67586413-e82f-8dd4-f51d-3e0547f6224a
cd78d59d-cba3-4a62-925f-18ce78096c94,17f9d5e8-74d9-69e5-8b1b-d6bd627c82ed,67586413-e82f-8dd4-f51d-3e0547f6224a
37a00af6-5b72-4483-9770-8722c71ebba6,282ffaed-00dc-976f-64bf-0fb92c8d970d,c35d3f5b-cee3-736b-9519-566c5fbc6ac7
45279892-d980-4a4e-b7da-36e0dae2fc96,6bf49d8c-654b-ba72-0eee-5d55ebf46236,c35d3f5b-cee3-736b-9519-566c5fbc6ac7
e95ca793-45c4-496a-8da2-811e0df6254d,3c608015-9dc4-14f1-4d55-99de6c768b60,c35d3f5b-cee3-736b-9519-566c5fbc6ac7
ca8c0aeb-b71a-4852-add9-c3b69c3a28c3,8dbda352-fcea-8416-0ed7-f66e3913cdce,c35d3f5b-cee3-736b-9519-566c5fbc6ac7
1d2ca20f-f323-4776-b88f-bc4e52febfb1,ac0a69fd-cab2-1061-4525-a52fb739336e,67586413-e82f-8dd4-f51d-3e0547f6224a
c8a79617-8f28-44f1-8dab-b535cb21a44d,bbcdc0f3-d08b-166c-af9b-e3e7346170c0,67586413-e82f-8dd4-f51d-3e0547f6224a
4daa7e52-40f6-461e-97d6-01830dd66e60,85174daf-4fb7-d2b1-9c4f-bf540e492d5f,67586413-e82f-8dd4-f51d-3e0547f6224a
2160abed-b7ee-46ed-958e-12478aee6bd8,7d4bcc2a-47ca-bf05-6d3f-118ff68a6888,67586413-e82f-8dd4-f51d-3e0547f6224a
