pkid,fkdevicepool,fkregion
eefcf3e2-95a9-4f09-98da-fdd8fa26e490,1b1b9eb6-7803-11d3-bdf0-00108302ead1,1b1b9eb1-7803-11d3-bdf0-00108302ead1
da5b2b47-888b-41e9-90a3-8e7d9bdc36ae,3281e056-b719-7e33-a033-103de68f547c,0ee22b12-8c7f-bb6c-bcf5-a75f8556c910
c7473577-30cb-476e-95b5-152266f77b8e,7881780e-077d-f56d-2218-89fd2a19e953,c2425328-abdf-fdf0-d795-f792aa25b2ab
1a554bb4-819e-40ae-a98d-02ed377952cd,c35d3f5b-cee3-736b-9519-566c5fbc6ac7,0ee22b12-8c7f-bb6c-bcf5-a75f8556c910
a75defb9-0500-4b06-b2b8-a87fa42455c8,67586413-e82f-8dd4-f51d-3e0547f6224a,c2425328-abdf-fdf0-d795-f792aa25b2ab
d19efba9-7b37-46c5-961b-af0949a51a41,79e8f5c7-78c7-35d3-8a82-a3a5f130351c,0ee22b12-8c7f-bb6c-bcf5-a75f8556c910
2e077dd7-7dee-414e-a8eb-664252890955,0a54219f-b24d-100f-a0c6-39087e475460,c2425328-abdf-fdf0-d795-f792aa25b2ab
beab7afb-cc3f-48fc-8833-363f710df798,41401a7d-faae-571a-2876-ac092617c9e3,0ceb63c0-1279-b5ed-a1a1-af507e5a5d1a
df09eb49-f988-440e-9cce-afdcec11c486,c41b2a58-e52e-81d9-515b-ad5568e24218,0ceb63c0-1279-b5ed-a1a1-af507e5a5d1a
b5dd4e61-374b-44ef-a42b-bea394df4d49,fd4c1612-bab4-9224-cab0-2209222972c5,0ee22b12-8c7f-bb6c-bcf5-a75f8556c910
95e9202b-a41b-4de9-9b9e-a879eb1ddee4,eced1da0-10d9-206a-566c-0c9a7197f849,c2425328-abdf-fdf0-d795-f792aa25b2ab
d9e69bc7-3aa7-4b98-b6f2-e2be067df367,c33beb0d-5923-97a5-785e-689b23037069,0ee22b12-8c7f-bb6c-bcf5-a75f8556c910
f3318e1a-a2f7-45f1-b014-6354958dfb9f,9f7ec98a-4a0b-48c4-b18b-c78f7309660d,c2425328-abdf-fdf0-d795-f792aa25b2ab
5e561af9-6b83-4844-91c8-cd8fbdd0b931,48ba8a21-fe7e-07d4-aba3-498b8a0c466f,0ee22b12-8c7f-bb6c-bcf5-a75f8556c910
55ae7fb2-31bd-4689-b34f-2f197e2bc8fc,461876a9-9b0a-e9ce-9e6e-e573a062a88e,c2425328-abdf-fdf0-d795-f792aa25b2ab
a2ea7e46-e488-4d27-9839-2cd08d7b807a,3226196f-c1e2-436a-b94d-cdb24ffc156d,a2a81194-7718-051f-baa4-9dc4291ce04d
6ca7ff8b-073e-4ca6-b422-f36d8bca833e,02e42c5b-c2c1-2929-937a-1ca6a3909c46,a2a81194-7718-051f-baa4-9dc4291ce04d
25c0bb8e-eab9-452d-bc9f-eb355773c4f8,035692d5-2a1e-4322-aba4-ec2c5cb788e0,14b72ac7-34c0-3d19-2408-cd38ae7263b3
75cec3ed-c3e3-48af-aa37-2642a7fd34fe,0411fb11-c17c-401b-873e-31bd7f42dc0f,77bbd03e-a8ec-43f1-3c2e-ece1900d5b3a
888a81bc-c839-40cc-a9b8-924ec29ef9ee,025cbe9a-5f17-408b-bc2e-34228fe93827,dd27609f-46fe-2b09-d57d-5812cae8b3a5
325c497b-51d6-4b32-b91b-07a013f020a2,02f7c080-5a66-4249-b0e7-5fd597fd71de,497011b0-043b-efd3-2edc-59f2f0397d2d
bb56aaeb-1f2b-41db-961a-85d67eb79cc4,023ec499-24d4-49c0-9132-c89aeea5dc62,f25ba9ce-e2fd-d10f-da48-9e8858a6e4cf
ebef85f6-3eea-4646-82f0-4b52588e5dcb,00d8f205-495c-4ca0-bbb5-d98a67f635b7,3bd3555e-020f-0174-e450-c9bd0adcd9be
358bf06e-f664-4f01-9e38-f14032cd3398,546db9ae-e77b-ce8a-af11-ed420325b9e9,3ef3dada-4dcd-20d8-d86b-1f094a36c744
