pkid,fkroutepartition,dnorpattern,tkpatternusage,cfbdestination,cfnadestination,fkroutefilter,tknetworklocation,fkdigitdiscardinstruction,prefixdigitsout,blockenable,tkmixer,calledpartytransformationmask,fkcallingsearchspace_sharedlineappear,fkdialplan,fkcallingsearchspace_translation,callingpartytransformationmask,patternurgency,tkstatus_usefullyqualcallingpartynum,fkcallingsearchspace_cfb,fkcallingsearchspace_cfna,dialplanwizardgenid,userholdmohaudiosourceid,networkholdmohaudiosourceid,callforwardexpansionmask,tkautoanswer,personalroutingenabled,devicefailuredn,fkcallingsearchspace_devicefailure,callingpartyprefixdigits,fkcallingsearchspace_mwi,fkvoicemessagingprofile,cfbvoicemailenabled,cfnavoicemailenabled,cfdfvoicemailenabled,fkaarneighborhood,withtag,withvalueclause,description,cfnaduration,tkpatternprecedence,cfaptvoicemailenabled,cfaptdestination,tkreleasecausevalue,fkcallingsearchspace_cfapt,tkpresentationbit_connectedline,tkpresentationbit_callingname,tkpresentationbit_connectedname,tkpresentationbit_callingline,supportoverlapsending,cfaptduration,iscallable,fkcallmanager,alertingname,authorizationcoderequired,authorizationlevelrequired,cfbintdestination,cfbintvoicemailenabled,cfnaintdestination,cfnaintvoicemailenabled,clientcoderequired,cssforcfa,fkcallingsearchspace_cfbint,fkcallingsearchspace_pff,fkcallingsearchspace_pffint,pff_cfb,pff_cfna,pffdestination,pffintdestination,pffintvoicemailenabled,pffvoicemailenabled,fkcallingsearchspace_reroute,fkmatrix_presence,fkcallingsearchspace_cfnaint,ismessagewaitingon,outsidedialtone,deviceoverride,allowcticontrolflag,alertingnameascii,resettoggle,tkreset,aardestinationmask,aarkeepcallhistory,aarvoicemailenabled,cfhrdn,cfhrintdn,cfhrintvmenabled,cfhrvmenabled,cfurdestination,cfurintdestination,cfurintvoicemailenabled,cfurvoicemailenabled,fkcallingsearchspace_cfhr,fkcallingsearchspace_cfhrint,fkcallingsearchspace_cfur,fkcallingsearchspace_cfurint,fkcallingsearchspace_revert,hrduration,hrinterval,iknumplan_parkcode,revertdestination,cfhrduration,tkdevicesecuritymode_minimumallowed,tkcfacssactivationpolicy,fkresourceprioritynamespace,tknumberingplan_called,tkpriofnumber_called,tkpriofnumber_calling,tknumberingplan_calling,fkdevice_intercomdefault,dnorpatternipv6,tkstatus_partyentrancetone,parkmonforwardnoretrievedn,parkmonforwardnoretrieveintdn,parkmonforwardnoretrieveintvmenabled,parkmonforwardnoretrievevmenabled,fkcallingsearchspace_pkmonfwdnoret,fkcallingsearchspace_pkmonfwdnoretint,parkmonreversiontimer,tkpatternrouteclass,routenexthopbycgpn,routeonuserpart,usecallercss,fkexternalcallcontrolprofile,displayconnectedpartynumber,rejectanonymouscall,useoriginatorcss,mlpppreemptiondisabled,calreference,tkcalmode,dontwaitforidtatsubsequenthops,nfkccaprofile_id,isemergencyservicenumber,tkroaminguserstatus,externalpresentationnumber,externalpresentationname,isanonymous,tkpresentationbit
4129c0ac-0f77-72e3-8e36-bb38594e90b7,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,9017523200,7,,,,0,,,f,,,,,,,f,0,,,,,,,0,f,,,,,,f,f,f,,,,FedEx Logistics FHI Main Hunt Pilot,,5,f,,0,,0,0,0,0,f,,t,,FedEx Logistics FHI Main,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
b2dfd19f-a261-0085-2c18-3dea7527619d,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3331915000,7,,,,0,,,f,,,,,,,t,0,,,,,,,0,f,,,,,,f,f,f,,,,SJC Main 3331915000                        ,180,5,f,,0,,0,0,0,0,f,,t,,SJC Main 3331915000,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,SJC Main 3331915000,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
be4fa5ee-acfa-1d79-d6a5-c010fff718c9,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3332595000,7,3332593090,3332593090,,0,,,f,,,,,,,f,0,39f39760-6851-4100-09d4-9515794c5521,39f39760-6851-4100-09d4-9515794c5521,,,,,0,f,,,,,,f,f,f,,,,GBO Main Line,60,5,f,,0,,0,0,0,0,f,,t,,GBO Main Line,f,0,3332593090,f,3332593090,f,f,,39f39760-6851-4100-09d4-9515794c5521,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,39f39760-6851-4100-09d4-9515794c5521,f,f,f,t,GBO Main Line,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
7e9ad5e0-04ce-7a33-b46a-2cf60032a751,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3335507050,7,3335503700,3335503700,,0,,,f,,,,,,,f,0,9aaf3eec-7556-0c5d-8d2a-10c46ae4e07e,9aaf3eec-7556-0c5d-8d2a-10c46ae4e07e,,,,,0,f,,,,,,f,f,f,,,,550 KCY Road Dispatch 3335507050            ,25,5,f,,0,,0,0,0,0,f,,t,,550 KCY Road Disp. 866-529-7623,f,0,3335503700,f,3335503700,f,f,,9aaf3eec-7556-0c5d-8d2a-10c46ae4e07e,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,9aaf3eec-7556-0c5d-8d2a-10c46ae4e07e,f,f,f,t,550 KCY Road Disp 866-529-7623,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
e1669433-eab0-61a2-aab2-d4d33931313f,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3332757004,7,,3332753090,,0,,,f,,,,,,,t,0,,a08fa2f2-23cf-3d30-ffd5-66790d4fd439,,,,,0,f,,,,,,f,f,f,,,,ATL Dispatch 3332757004                     ,20,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,3332753090,f,f,,a08fa2f2-23cf-3d30-ffd5-66790d4fd439,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,a08fa2f2-23cf-3d30-ffd5-66790d4fd439,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
ecc6a20e-2081-5271-8201-c419f07a04dd,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3337675000,7,3337673090,3337673090,,0,,,f,,,,,,,f,0,770a9ea9-870a-b4a4-9610-d1d19d6d5c19,770a9ea9-870a-b4a4-9610-d1d19d6d5c19,,,,,0,f,,,,,,f,f,f,,,,Freight COS/767 Console Hunt Pilot         ,24,5,f,,0,,0,0,0,0,f,,t,,COS Console,f,0,3337673090,f,3337673090,f,f,,770a9ea9-870a-b4a4-9610-d1d19d6d5c19,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,770a9ea9-870a-b4a4-9610-d1d19d6d5c19,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
63e214ce-ee59-48b5-ee8c-a47d776386eb,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3339881003,7,,,,0,,,f,,,,,,,f,0,,,,,,,0,f,,,,,,f,f,f,,,,FXF LMA Shop,,5,f,,0,,0,0,0,0,f,,t,,LMA Shop,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,LMA Shop,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
2f193feb-1d4a-352f-be41-7ad4351356f3,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3335036500,7,3335033090,3335033090,,0,,,f,,,,,,,t,0,613e62aa-231e-ee06-f80d-2163d20ec393,613e62aa-231e-ee06-f80d-2163d20ec393,,,,,0,f,,,,,,f,f,f,,,,Freight SAC/503 OSD Hunt Pilot    ,,5,f,,0,,0,0,0,0,f,,t,,SAC OSD,f,0,3335033090,f,3335033090,f,f,,613e62aa-231e-ee06-f80d-2163d20ec393,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,613e62aa-231e-ee06-f80d-2163d20ec393,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
f245a238-4feb-1a5e-924e-b6ff78c7ff86,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,5182987151,7,,,,0,,,f,,,,,,,f,0,,,,,,,0,f,,,,,,f,f,f,,,,FedEx Logistics CHA2 Warehouse Hunt Pilot,,5,f,,0,,0,0,0,0,f,,t,,FedEx Logistics CHA2 Warehouse,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
272d417b-6d54-4e49-411f-04f6ebd595c7,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,8707156366,7,,,,0,,,f,,,,,,,f,0,,,,,,,0,f,,,,,,f,f,f,,,,HRO Operating Taxes Hunt Pilot,,5,f,,0,,0,0,0,0,f,,t,,Operating Taxes,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,Operating Taxes,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
