pkid,name,rnareversiontimeout,algorithm
0679a281-7179-1c47-1654-7dd753f73f92,FXLG-BOS-Customs-lg,10,Top Down
0721682e-7dd2-0a4c-2ae5-c761f557207d,FXLG-BOS-InboundAir-lg,10,Top Down
099a34d2-32bf-f2cc-4424-476b6f98a9ef,FXF-OKC-Console,180,Top Down
10048170-bf0b-9fb9-15ad-90baf31c2441,FXF-CLE-Switchboard-lg,180,Top Down
19050f1c-7af3-65d6-4ad9-3c5b47fff41e,FXF-500-STL Office Bell-lg,180,Top Down
1b90a919-97c9-b124-81fe-3f54be0d818f,FXF-ORL-RoadDispatch-lg,180,Top Down
4333395e-1b64-f285-372b-03f05aa3c2eb,FXLG-BOS-Air-lg,10,Top Down
43475e02-8b89-ee9b-a617-3cc9dfa18acc,FXF-RKI-Console-2-lg,15,Top Down
4627c221-1ebc-677d-5ca8-6e8af8c08891,FXLG-CHI-Pricing-lg,16,Top Down
53078a71-7a3a-84c0-e660-10adabdbd063,FXF-MSP Road Dispatch-lg,20,Top Down
534471e2-3769-a64e-8953-f8b8e52ec194,FXF-HOU-CustomerService-lg,180,Top Down
55010699-1131-1e1a-01a1-ede1ce54b913,BUF-SHOP-LG,30,Top Down
555c2adf-4862-af11-5679-5041d1ee3381,FXF-FSM-DockBell-lg,180,Top Down
574ad0cb-2df0-c694-f1ba-d5f1832e2c48,FXLG-BOS-Finance-lg,10,Top Down
58c6a94a-dd27-5202-4c49-b8018a14626a,FXF-SAC-OfficeBell-lg,25,Top Down
65bd5cef-7f50-9e07-2b2d-db8b8e56dfca,FXF-FTX-Swithboard-lg,10,Top Down
6658209a-4ae2-cb5f-7ded-f25e8a7a1c9d,FXF-LITMain-lg,10,Top Down
6903a7e2-57d1-1079-3da2-f44a25033892,FXF-RKI-Road-Dispatch-lg,15,Top Down
723c1b8e-6549-c96f-9489-03fb799e71f3,FXF-NEW-Dispatch_lg,15,Top Down
79b62839-0fa8-41e1-fb7f-ea4065ddb0f1,FXLG-BOS-Ocean-lg,10,Top Down
7c4e6dcf-0481-b12a-6a5c-4557d99a9d72,FXF-NAS-Switchboard_2-lg,120,Top Down
845495ce-3cc3-ef30-4dd1-9ec35bed43a6,FXF-443-EFH-Road Dispatch-lg,10,Top Down
8805735b-9438-949a-e9d3-1e8e8d45a9f9,FXF-SJC-Nancy Hassan Coverage-lg,30,Top Down
8e60f2c4-ce93-bfc4-1337-22ad5faff2b9,FXLG-RVW-BuffaloWH-lg,30,Top Down
93f79f69-6447-f3c3-8e6d-bae76d89b8d5,FXF-IVN-Dispatch-lg,180,Top Down
9b88d475-0e7f-68c4-bed4-ba1fcfbea5ba,FXF-STK-Main-LG,24,Top Down
9c01cf32-c3ae-7d48-be76-6871cfdc8569,FXF-SJC-Richard Goldaber Coverage-lg,30,Top Down
