pkid,fkdevicepool,fkmediaresourcelist
7873a8f8-c365-4576-b304-d2e2acdf2030,1b1b9eb6-7803-11d3-bdf0-00108302ead1,7b8dedca-adac-517d-978e-e3988b75406e
6ff0439a-0afd-4dda-b7eb-a3a21ac0b976,3281e056-b719-7e33-a033-103de68f547c,7b8dedca-adac-517d-978e-e3988b75406e
53872532-f43a-4175-b175-fb7378981fed,7881780e-077d-f56d-2218-89fd2a19e953,7b8dedca-adac-517d-978e-e3988b75406e
5a1a2da8-4958-4be0-8538-8991b142b551,c35d3f5b-cee3-736b-9519-566c5fbc6ac7,7b8dedca-adac-517d-978e-e3988b75406e
360620c8-91fe-4148-bf5d-4875790a82ba,67586413-e82f-8dd4-f51d-3e0547f6224a,7b8dedca-adac-517d-978e-e3988b75406e
d916f326-bd98-440c-b3b7-176c290885be,79e8f5c7-78c7-35d3-8a82-a3a5f130351c,7b8dedca-adac-517d-978e-e3988b75406e
404151ec-9a75-4e04-9539-4c75a2169985,0a54219f-b24d-100f-a0c6-39087e475460,7b8dedca-adac-517d-978e-e3988b75406e
167673cc-43b0-4df9-aa1a-07a34b9a6d38,41401a7d-faae-571a-2876-ac092617c9e3,7b8dedca-adac-517d-978e-e3988b75406e
0694776e-6452-475a-8d12-c2548781bbf7,c41b2a58-e52e-81d9-515b-ad5568e24218,7b8dedca-adac-517d-978e-e3988b75406e
13e83518-f2f2-4f59-96cc-904ab4781a9e,fd4c1612-bab4-9224-cab0-2209222972c5,7b8dedca-adac-517d-978e-e3988b75406e
83019421-8f79-497b-bd78-0af046fa8643,eced1da0-10d9-206a-566c-0c9a7197f849,7b8dedca-adac-517d-978e-e3988b75406e
fb783643-11e8-4ae5-9cb1-1423e7320a8b,c33beb0d-5923-97a5-785e-689b23037069,7b8dedca-adac-517d-978e-e3988b75406e
9c0eb948-4a3d-4f29-9cd2-eaffaff1818f,9f7ec98a-4a0b-48c4-b18b-c78f7309660d,7b8dedca-adac-517d-978e-e3988b75406e
c46359c5-17e7-468b-9de3-a7300807a6d8,48ba8a21-fe7e-07d4-aba3-498b8a0c466f,7b8dedca-adac-517d-978e-e3988b75406e
e07fcc4d-c8c8-4f2b-8d88-6ca794cf27b2,461876a9-9b0a-e9ce-9e6e-e573a062a88e,7b8dedca-adac-517d-978e-e3988b75406e
0a7740f0-2b7d-48fa-a95c-b45a00400d61,3226196f-c1e2-436a-b94d-cdb24ffc156d,7b8dedca-adac-517d-978e-e3988b75406e
9052fcc8-eb6d-4ecf-b96a-94084ee48f20,02e42c5b-c2c1-2929-937a-1ca6a3909c46,7b8dedca-adac-517d-978e-e3988b75406e
3f98702a-9e95-4c4d-aa42-d611eade52be,035692d5-2a1e-4322-aba4-ec2c5cb788e0,7b8dedca-adac-517d-978e-e3988b75406e
2a66b5c9-ebbb-4900-a272-6fe03515c11d,0411fb11-c17c-401b-873e-31bd7f42dc0f,7b8dedca-adac-517d-978e-e3988b75406e
f8e21d3f-f867-40e9-a80b-4934809f1c1a,025cbe9a-5f17-408b-bc2e-34228fe93827,7b8dedca-adac-517d-978e-e3988b75406e
fd38c8ce-bc37-4d4f-9332-e2786d712457,02f7c080-5a66-4249-b0e7-5fd597fd71de,7b8dedca-adac-517d-978e-e3988b75406e
2cea7c2d-6c73-4e7f-b64c-b49b1221e4cf,023ec499-24d4-49c0-9132-c89aeea5dc62,7b8dedca-adac-517d-978e-e3988b75406e
5d05883e-28a0-482a-8ddb-c05aafeec8dd,00d8f205-495c-4ca0-bbb5-d98a67f635b7,7b8dedca-adac-517d-978e-e3988b75406e
f7f2fbec-546d-4904-b60b-9777d87c3bd9,546db9ae-e77b-ce8a-af11-ed420325b9e9,7b8dedca-adac-517d-978e-e3988b75406e
6f627e4a-a0c7-439b-baba-2f3bd7e54c89,07cf5e53-847a-43c9-ad0d-5258cd3b1ca7,7b8dedca-adac-517d-978e-e3988b75406e
7926dd6e-3821-4215-95f8-79c360dcf7bb,069e83f6-974d-4174-96db-855c2d90f92c,7b8dedca-adac-517d-978e-e3988b75406e
3ceb4f27-da6f-4b95-9e73-f296d2476cec,05f89a4a-cd8f-4f7e-9455-d70d045f3b32,7b8dedca-adac-517d-978e-e3988b75406e
1517b4c1-68d2-406d-928d-f9cac0d03da1,07d21938-49e6-83b6-f30b-9b2e065062d3,7b8dedca-adac-517d-978e-e3988b75406e
c4956322-d3f2-420d-87a9-560fd938f094,065c95b8-bedb-49ef-bf7b-814e1737e2c2,7b8dedca-adac-517d-978e-e3988b75406e
8018f7b5-e4bb-467f-83b1-feb94d0134c0,07a7ac8f-5752-6bbc-49ae-69e1e7e9a975,7b8dedca-adac-517d-978e-e3988b75406e
2c313490-c0f9-4a17-9d6a-1a5a4b342c0b,58b791ec-9730-4979-b6b6-f140cdc7c3ec,7b8dedca-adac-517d-978e-e3988b75406e
377bf60a-5f95-4735-a386-265281bca0cf,7a8d15f3-fa9b-9f75-abae-7f5a332e3b2c,7b8dedca-adac-517d-978e-e3988b75406e
8f5df8ae-1301-48ab-ac85-b2e14646ffd0,09d80f21-f5c5-4932-83ab-3c3aaa7e649f,7b8dedca-adac-517d-978e-e3988b75406e
26bbf495-f442-4b7c-b99e-7dda782f84fc,0c2c7b90-1120-449b-aca0-9590a0ef16cc,7b8dedca-adac-517d-978e-e3988b75406e
ff597c16-b4f4-42bc-9cc5-3c0f6aceb4c4,08a37bc3-258d-453c-8e9b-44442b76b191,7b8dedca-adac-517d-978e-e3988b75406e
aac51e7a-d00d-42da-a4f8-8eef603d70ba,0ab380a8-1d0e-4906-a105-dc7db7aa194b,7b8dedca-adac-517d-978e-e3988b75406e
e94b4185-83e7-48a1-9db3-0f3ca13d3bf7,0baf3094-6b64-447a-b502-15538eb50ee8,7b8dedca-adac-517d-978e-e3988b75406e
27dcffac-0723-4660-81ef-c8ab5ebab03e,0f8890f9-315b-40cd-b23c-bcd1ae22a47c,7b8dedca-adac-517d-978e-e3988b75406e
4503d117-ab38-4ccf-963b-6a0d592899dd,125aff72-3e64-4e28-88fa-d2be7310d1fa,7b8dedca-adac-517d-978e-e3988b75406e
311499eb-4d34-4d05-86b5-5cacc7ced9e4,1283d478-cb0b-4545-8c65-6e9ac9c628ae,7b8dedca-adac-517d-978e-e3988b75406e
ddf1f797-8973-4fd3-bd11-7665a2778638,1074e9e9-366c-b87b-61cf-c34c0fb2e55d,7b8dedca-adac-517d-978e-e3988b75406e
a4c01625-3082-4b64-a047-1de475469e76,116d161e-4950-48d0-8bdb-f371ca15bdf8,7b8dedca-adac-517d-978e-e3988b75406e
e2ed5ee2-e0ef-4dd8-b2e6-78bbdec25779,0f772e66-d8c4-46e1-a902-78a7e6bc932a,7b8dedca-adac-517d-978e-e3988b75406e
e693ff90-b77f-4bbf-a114-615f2acbce68,0df1a149-3775-fc19-3bd3-331b3aa74e67,7b8dedca-adac-517d-978e-e3988b75406e
15bf5cfc-e9b6-45c1-8263-2615baa0b255,0e391336-92cb-5f07-e5b4-d93a68e9f098,7b8dedca-adac-517d-978e-e3988b75406e
99756fa4-97b3-40a9-92d4-811317662010,13e1a4ba-2545-4d98-a928-94c6287da61e,7b8dedca-adac-517d-978e-e3988b75406e
7d0cf936-4292-4c76-b142-a8e886280dd4,1449ccb3-3e94-4402-a39a-960bc5fcd7da,7b8dedca-adac-517d-978e-e3988b75406e
4010b788-5624-4815-bc37-58dda20e0a4d,11437f44-11d8-4441-ba7e-b7197144f8eb,7b8dedca-adac-517d-978e-e3988b75406e
409f0789-1993-4aaa-8810-f8821d368e90,0f189dbb-2346-4c16-a61b-f3171ba85a95,7b8dedca-adac-517d-978e-e3988b75406e
b896aeea-e0b6-447d-892c-ffd44a0b8ea7,119ffd86-300f-48a1-8312-8e915c2ab375,7b8dedca-adac-517d-978e-e3988b75406e
