pkid,name,description,dialplanwizardgenid,fktimeschedule,tktimezone,useoriginatingdevicetimezone,resettoggle,tkreset,tkpartitionusage
a506b4ab-d8f5-40ed-8922-f1d6f38976bf,Directory URI,,,,22,t,f,2,103
4c17561f-4739-402c-8b9a-df44adef27b7,Global Learned Enterprise Numbers,Created 2020-05-02 11:19:59,,,22,t,f,2,99
66c9e376-9fbf-4ea9-b0fc-8aa427e61a9d,Global Learned E164 Numbers,Created 2020-05-02 11:19:59,,,22,t,f,2,99
57397060-f283-4ec6-9fe2-cdfe2e5ddbd3,Global Learned Enterprise Patterns,Created 2020-05-02 11:19:59,,,22,t,f,2,99
86f7c3a8-7c4e-4dd2-919b-f89c7c130ea5,Global Learned E164 Patterns,Created 2020-05-02 11:19:59,,,22,t,f,2,99
58276db2-1d66-4a09-b4da-232d63e6bf3a,XFORM-BJIA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
efe2662a-1fac-4b59-9754-d06914094845,SBAA_911_par,SBAA_911_par,,,22,t,f,2,99
58a70ea2-9571-4e2a-8e79-4eed3dc34d89,CVGR_CngPTP-Xform-GW-IN_par,CVGR Gateway IN Transformation Partition,,,22,t,f,2,99
34810201-cb52-40ad-b027-cabe1f7568ef,XFORM-FTCA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
8cfa447c-52d9-4d7d-8ee0-eb3ba390964d,FXE-FIELD-A-BXAA-APP_par,BXAA Site Specific Dial Partition,,,22,t,f,2,99
95deb831-9575-4b95-97ad-da54912e5473,XFORM-BMIA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
1de6d638-7c27-4801-8ebf-eee00860c189,XFORM-LFTR-MGCP-DNIS_par,XFORM-LFTR-MGCP-DNIS_par,,,22,t,f,2,99
239084db-e893-4bd0-8fd2-7797d2342a6c,FXE-IAHS_911_par,FXE-IAHS 911 partition,,,22,t,f,2,99
95249d3d-da72-4130-a57e-6515454226bc,XFORM-NYCS-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
ceb95f6e-67bc-4735-9176-d433b0d269f9,FXE-FIELD-A-LBFA-APP_par,FXE-FIELD-A-LBFA-APP_par,,,22,t,f,2,99
0ebbab95-25ef-469b-8e02-339edf54e653,FXE-SWFR_CngPTP-Xform-IN_par,FXE-SWFR CngPTP IN Transformation Partition,,,22,t,f,2,99
b780978c-030b-405c-87be-9a20152e178c,FXE-FIELD-A-SJCRT-APP_par,FXE-SJCRT internal partition,,,22,t,f,2,99
1e9bc6da-0763-4ea6-b483-892ab014cba5,FXE-FIDA_PSTN_par,FXE-FIDA PSTN partition,,,22,t,f,2,99
f5c1ffaa-2d21-4a03-8795-4b1f30c51fdc,XFORM-FPRA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
49fef726-37b5-4fde-8a86-2ff8bdef7639,ORDR_GATEPHONE_PAR,ORDR_GATEPHONE_PAR,,,22,t,f,2,99
c42afb9f-f2b9-4d04-8b75-94726de7f1ce,FXE-FIELD-A-HVNA-APP_par,Site specific partition,,,22,t,f,2,99
57e7630a-9af3-4941-97ed-524dcec0d30b,FXE-FIELD-A-WHHA-APP_par,WHHA Site Specific Dial Partition,,,22,t,f,2,99
318f22cf-a786-4217-931a-d0fbafda6ac5,FXE-FIELD-A-QFEA-APP_par,Site specific partition,,,22,t,f,2,99
da78aa1e-24e6-4b46-8d2d-f13145b5c490,FXE-nonDID-ONPA-Staging_par,ONPA Site Specific Dial Partition,,,22,t,f,2,99
4074d02d-489b-49f2-a609-fa5b6e773143,FXE-FIELD-A-FLGA-APP_par,Site specific partition,,,22,t,f,2,99
052835b4-515e-4842-ad0d-814fdab22c69,FXE-FIELD-A-ICTA-APP_par,ICTA Site Specific Dial Partition,,,22,t,f,2,99
fafb582d-3d28-4da4-b959-48381afb33bc,XFORM-ANDA-MGCP-ANI_par,ANDA Contains per-site Called Party Transformation,,,22,t,f,2,99
f6737783-4aee-4f62-bfc2-d4d92fdb8311,FXE-FIELD-A-ALBR-APP_par,ALBR Site Specific Dial Partition,,,22,t,f,2,99
c6223efc-9614-4067-8c76-ecde0cc6f6cf,FXE-PDXRT_CngPTP-xform-OUT_par,FXE-PDXRT_CngPTP-xform-OUT_par,,,22,t,f,2,99
db817beb-fa89-43aa-9095-e5927f7bd609,FXE-FIELD-A-FYMA-APP_par,FYMA Site Specific Dial Partition,,,22,t,f,2,99
d24529e0-3e4f-41a4-930d-d08c91727c54,MQYA_CngPTP-Xform-GW-IN_par,MQYA Gateway IN Transformation Partition,,,22,t,f,2,99
