pkid,fkroutepartition,dnorpattern,tkpatternusage,cfbdestination,cfnadestination,fkroutefilter,tknetworklocation,fkdigitdiscardinstruction,prefixdigitsout,blockenable,tkmixer,calledpartytransformationmask,fkcallingsearchspace_sharedlineappear,fkdialplan,fkcallingsearchspace_translation,callingpartytransformationmask,patternurgency,tkstatus_usefullyqualcallingpartynum,fkcallingsearchspace_cfb,fkcallingsearchspace_cfna,dialplanwizardgenid,userholdmohaudiosourceid,networkholdmohaudiosourceid,callforwardexpansionmask,tkautoanswer,personalroutingenabled,devicefailuredn,fkcallingsearchspace_devicefailure,callingpartyprefixdigits,fkcallingsearchspace_mwi,fkvoicemessagingprofile,cfbvoicemailenabled,cfnavoicemailenabled,cfdfvoicemailenabled,fkaarneighborhood,withtag,withvalueclause,description,cfnaduration,tkpatternprecedence,cfaptvoicemailenabled,cfaptdestination,tkreleasecausevalue,fkcallingsearchspace_cfapt,tkpresentationbit_connectedline,tkpresentationbit_callingname,tkpresentationbit_connectedname,tkpresentationbit_callingline,supportoverlapsending,cfaptduration,iscallable,fkcallmanager,alertingname,authorizationcoderequired,authorizationlevelrequired,cfbintdestination,cfbintvoicemailenabled,cfnaintdestination,cfnaintvoicemailenabled,clientcoderequired,cssforcfa,fkcallingsearchspace_cfbint,fkcallingsearchspace_pff,fkcallingsearchspace_pffint,pff_cfb,pff_cfna,pffdestination,pffintdestination,pffintvoicemailenabled,pffvoicemailenabled,fkcallingsearchspace_reroute,fkmatrix_presence,fkcallingsearchspace_cfnaint,ismessagewaitingon,outsidedialtone,deviceoverride,allowcticontrolflag,alertingnameascii,resettoggle,tkreset,aardestinationmask,aarkeepcallhistory,aarvoicemailenabled,cfhrdn,cfhrintdn,cfhrintvmenabled,cfhrvmenabled,cfurdestination,cfurintdestination,cfurintvoicemailenabled,cfurvoicemailenabled,fkcallingsearchspace_cfhr,fkcallingsearchspace_cfhrint,fkcallingsearchspace_cfur,fkcallingsearchspace_cfurint,fkcallingsearchspace_revert,hrduration,hrinterval,iknumplan_parkcode,revertdestination,cfhrduration,tkdevicesecuritymode_minimumallowed,tkcfacssactivationpolicy,fkresourceprioritynamespace,tknumberingplan_called,tkpriofnumber_called,tkpriofnumber_calling,tknumberingplan_calling,fkdevice_intercomdefault,dnorpatternipv6,tkstatus_partyentrancetone,parkmonforwardnoretrievedn,parkmonforwardnoretrieveintdn,parkmonforwardnoretrieveintvmenabled,parkmonforwardnoretrievevmenabled,fkcallingsearchspace_pkmonfwdnoret,fkcallingsearchspace_pkmonfwdnoretint,parkmonreversiontimer,tkpatternrouteclass,routenexthopbycgpn,routeonuserpart,usecallercss,fkexternalcallcontrolprofile,displayconnectedpartynumber,rejectanonymouscall,useoriginatorcss,mlpppreemptiondisabled,calreference,tkcalmode,dontwaitforidtatsubsequenthops,nfkccaprofile_id,isemergencyservicenumber,tkroaminguserstatus,externalpresentationnumber,externalpresentationname,isanonymous,tkpresentationbit
7ce21df6-c071-5f0c-ae36-5b23861d8ab7,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3336003890,5,,,,1,714eaffa-55c2-11d3-b52d-0008c7c6a4c6,,f,,,,,,,f,1,,,,,,,0,f,,,,,,f,f,f,,,,3336003090 - LoudBell (TUL),,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,t,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
7e4163ba-6895-f261-36a7-8e369b17802a,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3338803890,5,,,,1,714eaffa-55c2-11d3-b52d-0008c7c6a4c6,,f,,,,,,,f,1,,,,,,,0,f,,,,,,f,f,f,,,,3338803090 - Dock Bell (FWA),,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,t,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
80773e02-08f4-825a-cbe2-c28166c32f07,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3338413891,5,,,,1,,,f,,,,,,,f,1,,,,,,,0,f,,,,,,f,f,f,,,,3338413091 - SC Conference (CIN),,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,t,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
8147e2bc-554d-3941-e086-88e95bfcbc37,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3338303890,5,,,,1,714eaffa-55c2-11d3-b52d-0008c7c6a4c6,,f,,,,,,,f,1,,,,,,,0,f,,,,,,f,f,f,,,,3338303090 - Dock Bell (LFT),,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,t,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
829b347c-5929-aca7-7086-83194825f3d9,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3331807676,5,,,,1,,,f,,,,,,,f,1,,,,,,,0,f,,,,,,f,f,f,,,,3331807676 - Paging (PBF),,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,t,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
8394ffcd-edda-6c79-a52d-42443b571a7a,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3334743891,5,,,,1,714eaffa-55c2-11d3-b52d-0008c7c6a4c6,,f,,,,,,,f,1,,,,,,,0,f,,,,,,f,f,f,,,,3334743091 - Ops Cordless (WTL),,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,t,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
840b6613-4136-7edf-f646-28c2c491931d,068fc5c7-17aa-4f55-9dd1-d28738a7edbe,*13306287873,5,,,,0,,,f,,,,,,,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Unity Outbound FXCC Option 2,,5,f,,21,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
85275496-a5b7-def3-654f-15d644bda08d,17291e5a-4d04-488a-94c4-f7823b66a225,\+.1587[2-9]XXXXXX,5,,,,1,,,f,,,,,,18004633339,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Freight EAB/654 Local Dialing out SME,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
853c4341-7966-5b12-998f-ec136847451f,068fc5c7-17aa-4f55-9dd1-d28738a7edbe,*13306287875,5,,,,0,,,f,,,,,,,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Unity Outbound FXCC Option 5,,5,f,,21,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
8598e52e-92dd-512d-4a30-1756aa92d3c8,068fc5c7-17aa-4f55-9dd1-d28738a7edbe,18003672884,5,,,,0,,,f,,,,,,16155492200,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Unity Outbound CH SC_DELB Opt3,,5,f,,21,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
85b0f769-7a61-0ef2-784d-9d61a1ad4a30,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3335577676,5,,,,1,,,f,,,,,,,f,1,,,,,,,0,f,,,,,,f,f,f,,,,3335577676 - Page (FED),,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,t,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
86653321-1ce3-4668-f504-dacda19dba69,467ef9cf-126b-4d51-98cc-d11edf4b5177,3334937676,5,,,,1,714eaffa-55c2-11d3-b52d-0008c7c6a4c6,,f,,,,,,,f,1,,,,,,,0,f,,,,,,f,f,f,,,,Paging (STE) 333-493-7676,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,t,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
86f8c472-67ba-cc5a-a679-a742ebf8cc25,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3331147676,5,,,,1,,,f,,,,,,,f,0,,,,,,,0,f,,,,,,f,f,f,,,,Page (CAD),,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,t,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
8706933a-1531-3c16-a4cb-ff007d5490b2,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,8634997301,5,,,,1,,,f,,14032792163,,,,,f,0,,,,,,,0,f,,,,,,f,f,f,,,,Freight Canada CGY/641 TFN Routing 888-236-5515,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
