sipdevice_pkid,pkid,name,description,runonallnodes
911f8688-900c-6298-f6fe-cfce5b7f8e6f,9dced684-e3cc-6bb8-f4d4-ad81f54e74b5,xUS1_CUCxN_SIP_Trunk_NonSecure-CL2,DI-Unity-Connection-SIP-Trunk,t
0f647f5a-935b-3c64-3767-a8d4b54e1e5e,c6d51616-0de4-c3df-ee8b-e1bc3d058295,xUS2_CUCxN_SIP_Trunk_NonSecure-CL2,DI-Unity-Connection-SIP-Trunk,t
e0353bef-6ada-565b-d5d0-942dad388ce5,0f62d3d8-7890-79c2-5a2a-e1cf15e5e71c,DI-Cluster2-ATT-Canada-TRK,DI-Cluster2-ATT-Canada-TRK,t
63b658f7-d8fc-22c8-4f47-f7d75f01500c,8927a9da-b27e-7033-9bd0-7b055a396a4e,DI-Cluster2-ATT-US-TRK,DI-Cluster2-ATT-US-TRK,t
ee7200db-f750-7a98-33ea-2477490a94d0,4c2f5423-0e88-ba40-ac44-17a5eb106c96,DI-Cluster2-Verizon-TRK,DI-Cluster2-Verizon-TRK,t
df344d08-0000-9d0d-565c-832682a93ea1,e2f3e4e7-dae6-7d77-6c6b-9b6b9b42a81a,MIA-H323,MIA-H323 (10.244.115.4),t
0c72505a-0475-c909-cc3b-144710927c77,d8662d9d-611a-8e39-2e46-aa48eb1803d9,ALBA-H323,ALBA-H323 (10.244.121.1),t
ab340889-77ff-82f5-722c-8d84600798a7,ab1e3e8d-32e6-cb0a-2eb9-96f4607cacbb,FXF-SDWAN-CPG-tk,FedEx Freight Cape Girardeau (CPG/520) SIP TK to GW,f
2a71ba76-2da3-cf95-c21e-f2cfea2a0794,75aff92f-a6c3-60fe-1199-e648c82e9fab,SUSA-H323,SUSA-H323 (10.244.131.132),t
14411722-e855-caf7-8d99-38bcebf2bc08,0518e4b9-cdf0-2be0-a3da-34ac0a145c3d,GMVA-H323,GMVA-H323 (10.244.145.1),t
ae8fcc0b-934b-0b96-53b6-1b8c157ed779,50070aae-f894-4de6-690a-5b3e6bd846b4,INDRT-H323,INDRT-H323 (10.244.147.1),t
e430541b-6870-8d47-8467-4df93aa3f9da,e1626ab7-7a87-2ece-e047-fb7b08b7e812,FXF-SDWAN-RAP-tk,FedEx Freight Rapid City (RAP/506) SIP TK to GW,f
4486925e-9f25-d3c9-e94d-023a693f5f1d,e473d18c-0968-e3ee-5131-8e47513539b7,FXF-SDWAN-MAN-tk,FedEx Freight Manassas (MAN/553) SIP TK to GW,f
0c38805c-3ea5-0942-d1ca-ead682323eba,283502c7-5484-012f-94fb-759bf9576aea,WTCA-H323,WTCA-H323 (10.244.157.5),t
9fba96f1-0e71-c404-a564-c105b8cfe0ec,6d06c168-0c11-231a-f844-89ba2c60438f,BFIA-H323,BFIA-H323 (10.244.158.132),t
02cc39b5-7512-c365-c3ed-66102c1b9f55,fa2a4879-deee-fa5e-d763-7bc3770b4e26,FXF-SDWAN-KNG-tk,FedEx Freight Kingman (KNG/353) SIP TK to GW,f
ac08c4f2-031d-b79d-79fa-390ea80701e9,781d9e02-4705-e713-8a13-ef81cac27370,SCKA-H323,SCKA-H323 (10.244.158.4),t
12741aee-3f87-84c3-49ba-6892250d32aa,e89d25f1-e4e1-529a-c5f9-98d1e84710b6,FXF-SDWAN-BTE-tk,FedEx Freight (BTE/223) SIP TK to GW,f
712871d0-faf6-590e-bebb-aee64f673ec4,e5c6fa1d-1f18-d5e4-ed6b-27ee21d06b2d,LCKR-H323,LCKR-H323 (10.244.162.3),t
a0d7ff55-b585-dbac-2ad1-ef5170f21ca7,0b5737d0-d096-ffe4-722c-7507710d10d6,LDJA-H323,LDJA-H323 (10.244.166.3),t
066730e6-47e9-31e2-c553-31684c55f372,60477f3c-01c8-a189-f906-6e1e0c126cc2,CCRWK-H323,CCRWK-H323 (10.244.170.129),t
b831493a-f6c1-eaaa-bd0f-5f574974b3f2,f5593adf-3b29-56d7-3b13-30eb292d090a,FXF-SDWAN-LVW-tk,FedEx Freight Longview (LVW/344) 10.17.43.1 SIP TK to GW,f
