pkid,fkroutepartition,dnorpattern,tkpatternusage,cfbdestination,cfnadestination,fkroutefilter,tknetworklocation,fkdigitdiscardinstruction,prefixdigitsout,blockenable,tkmixer,calledpartytransformationmask,fkcallingsearchspace_sharedlineappear,fkdialplan,fkcallingsearchspace_translation,callingpartytransformationmask,patternurgency,tkstatus_usefullyqualcallingpartynum,fkcallingsearchspace_cfb,fkcallingsearchspace_cfna,dialplanwizardgenid,userholdmohaudiosourceid,networkholdmohaudiosourceid,callforwardexpansionmask,tkautoanswer,personalroutingenabled,devicefailuredn,fkcallingsearchspace_devicefailure,callingpartyprefixdigits,fkcallingsearchspace_mwi,fkvoicemessagingprofile,cfbvoicemailenabled,cfnavoicemailenabled,cfdfvoicemailenabled,fkaarneighborhood,withtag,withvalueclause,description,cfnaduration,tkpatternprecedence,cfaptvoicemailenabled,cfaptdestination,tkreleasecausevalue,fkcallingsearchspace_cfapt,tkpresentationbit_connectedline,tkpresentationbit_callingname,tkpresentationbit_connectedname,tkpresentationbit_callingline,supportoverlapsending,cfaptduration,iscallable,fkcallmanager,alertingname,authorizationcoderequired,authorizationlevelrequired,cfbintdestination,cfbintvoicemailenabled,cfnaintdestination,cfnaintvoicemailenabled,clientcoderequired,cssforcfa,fkcallingsearchspace_cfbint,fkcallingsearchspace_pff,fkcallingsearchspace_pffint,pff_cfb,pff_cfna,pffdestination,pffintdestination,pffintvoicemailenabled,pffvoicemailenabled,fkcallingsearchspace_reroute,fkmatrix_presence,fkcallingsearchspace_cfnaint,ismessagewaitingon,outsidedialtone,deviceoverride,allowcticontrolflag,alertingnameascii,resettoggle,tkreset,aardestinationmask,aarkeepcallhistory,aarvoicemailenabled,cfhrdn,cfhrintdn,cfhrintvmenabled,cfhrvmenabled,cfurdestination,cfurintdestination,cfurintvoicemailenabled,cfurvoicemailenabled,fkcallingsearchspace_cfhr,fkcallingsearchspace_cfhrint,fkcallingsearchspace_cfur,fkcallingsearchspace_cfurint,fkcallingsearchspace_revert,hrduration,hrinterval,iknumplan_parkcode,revertdestination,cfhrduration,tkdevicesecuritymode_minimumallowed,tkcfacssactivationpolicy,fkresourceprioritynamespace,tknumberingplan_called,tkpriofnumber_called,tkpriofnumber_calling,tknumberingplan_calling,fkdevice_intercomdefault,dnorpatternipv6,tkstatus_partyentrancetone,parkmonforwardnoretrievedn,parkmonforwardnoretrieveintdn,parkmonforwardnoretrieveintvmenabled,parkmonforwardnoretrievevmenabled,fkcallingsearchspace_pkmonfwdnoret,fkcallingsearchspace_pkmonfwdnoretint,parkmonreversiontimer,tkpatternrouteclass,routenexthopbycgpn,routeonuserpart,usecallercss,fkexternalcallcontrolprofile,displayconnectedpartynumber,rejectanonymouscall,useoriginatorcss,mlpppreemptiondisabled,calreference,tkcalmode,dontwaitforidtatsubsequenthops,nfkccaprofile_id,isemergencyservicenumber,tkroaminguserstatus,externalpresentationnumber,externalpresentationname,isanonymous,tkpresentationbit
7cf753a0-8200-5e72-7274-b8ba9aa6e748,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,8454573523,3,,,,0,,,f,,3335705000,,,c4316e13-0e7b-6c2c-65cb-841ac136c597,,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Freight NWB/570 Internal Pilot 845-457-3523,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
b542b4f8-4f43-4100-8dc1-e48fd0626a0b,50f245a9-e6dd-4d14-a166-f41445e0a236,#282,3,,,,0,,,f,,3332825000,,,90a2be22-6174-e9c9-96d5-43a21ffbdacc,XXXXXXXXXX,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Freight (ABY/282) Speed Dial,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
7d05825f-93a8-4525-955e-80d5d7e88d38,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,7168791400,3,,,,0,,,f,,7164473341,,,b3a4024f-027d-c0bb-7df8-956aa66ce18a,,t,0,,,,,,,0,f,,,,,,f,f,f,,,,FXLG DEAR 7168791400 Trans to 7164473341,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
7d4aac67-891c-4f87-a1b2-d1ad9ca33ccd,50f245a9-e6dd-4d14-a166-f41445e0a236,#810,3,,,,0,,,f,,3338105000,,,90a2be22-6174-e9c9-96d5-43a21ffbdacc,XXXXXXXXXX,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Freight (SHV/810) Speed Dial,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
7d32fa2c-40d4-4b41-88fb-1c004f0c94ab,0533d41b-5f91-492f-84ee-66f76cff6806,18775251261,3,,,,0,,888,f,,5336113039,,,bb89d2d2-8852-cb60-d0c8-d8654c8d044a,XXXXXXXXXX,t,1,,,,,,,0,f,,,,,,f,f,f,,,,FXCC WG  Art Team,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,1,2,2,1,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
7d5a9224-8d4b-4282-bd52-704aac18adac,50f245a9-e6dd-4d14-a166-f41445e0a236,#828,3,,,,0,,,f,,3338285000,,,90a2be22-6174-e9c9-96d5-43a21ffbdacc,XXXXXXXXXX,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Freight (OCF/828) Speed Dial,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
7d579cf0-9b7d-1420-6aa0-22ad38cf2613,b9551a7c-0828-4210-8af7-a1edb415b4ec,**.XXXX,3,,,,0,714eaffa-55c2-11d3-b52d-0008c7c6a4c6,333141,f,,,,,a9fc3e08-835c-60c2-ebe9-306d517e72a0,,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Freight PRS/141 **XXXX Site Dial,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
7d56e629-1302-3199-515f-e2614495a5ea,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3334705555,3,,,,0,,,f,,3334703010,,,70512c4c-6c7b-65ed-2f5c-ffa321d4a0e1,,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Freight RKI/470 Console DN - Front Desk Trans,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
7d8c4121-2223-0412-9d86-3b88b2249c5c,5882b427-116d-4b3e-8484-a6610790e15d,**.59[0-4]X,3,,,,0,714eaffa-55c2-11d3-b52d-0008c7c6a4c6,901684,f,,,,,3b3a6f52-a9b7-4064-10e2-7082e86a4482,,t,0,,,,,,,0,f,,,,,,f,f,f,,,,FXLG CCT 4-Digit Dialing **XXXX,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
7d93d0ab-1830-4691-82e8-5a19472a6bce,50f245a9-e6dd-4d14-a166-f41445e0a236,#502,3,,,,0,,,f,,3335025000,,,90a2be22-6174-e9c9-96d5-43a21ffbdacc,XXXXXXXXXX,t,0,,,,,,,0,f,,,,,,f,f,f,,,,Freight (SFL/502) Speed Dial,,5,f,,0,,0,0,0,0,f,,t,,,f,0,,f,,f,f,,,,,f,f,,,f,f,,ad243d17-98b4-4118-8feb-5ff2e1b781ac,,f,f,f,t,,f,2,,t,f,,,f,f,,,f,f,,,,,,,,,,,,0,,0,0,0,0,,,2,,,f,f,,,,0,f,f,t,,f,f,f,f,-1,,f,,f,1,,,f,0
